"sensor_id","latitude","longitude","name"
7511,55.6028,-2.467,"286 [WEATHER]"
7512,55.1542,-1.9431,"300 [WEATHER]"
7513,50.8213,-2.7886,"30084 [WEATHER]"
7514,51.9182,-4.1002,"30448 [WEATHER]"
7515,55.7326,-2.0507,"30747 [WEATHER]"
7516,56.6207,-3.9239,"30810 [WEATHER]"
7517,54.4278,-1.2159,"347 [WEATHER]"
7518,54.4807,-0.6241,"359 [WEATHER]"
7519,54.2726,-0.421,"360 [WEATHER]"
7520,54.1048,-0.6415,"367 [WEATHER]"
7521,58.3112,-4.9151,"38 [WEATHER]"
7522,53.253,-0.0077,"3805 [WEATHER]"
7523,53.0309,-0.5019,"386 [WEATHER]"
7524,53.0935,-0.1712,"393 [WEATHER]"
7525,53.1476,0.348,"403 [WEATHER]"
7526,51.9592,1.025,"439 [WEATHER]"
7527,52.1935,0.1311,"454 [WEATHER]"
7528,52.6105,1.4848,"4934 [WEATHER]"
7529,58.5613,-3.9905,"50 [WEATHER]"
7530,54.0996,-2.1623,"509 [WEATHER]"
7531,52.1719,0.8325,"5100 [WEATHER]"
7532,53.381,-1.4899,"525 [WEATHER]"
7533,53.8275,-1.1467,"535 [WEATHER]"
7534,53.2577,-1.9124,"539 [WEATHER]"
7535,56.3079,-5.2383,"55831 [WEATHER]"
7536,57.696,-5.7759,"55890 [WEATHER]"
7537,57.5945,-4.3728,"55896 [WEATHER]"
7538,55.6148,-4.2828,"56107 [WEATHER]"
7539,55.6037,-3.3217,"56130 [WEATHER]"
7540,53.1881,-4.1047,"56339 [WEATHER]"
7541,53.0988,-1.5871,"56423 [WEATHER]"
7542,57.3374,-3.5415,"56463 [WEATHER]"
7543,51.49536,-3.21084,"56923 [POLLEN]"
7544,53.84243,-0.4252,"56924 [POLLEN]"
7545,52.05638,1.1997,"56928 [POLLEN]"
7546,50.71052,-1.29944,"56929 [POLLEN]"
7547,50.37461,-4.13725,"56933 [POLLEN]"
7549,54.58537,-5.93784,"56952 [POLLEN]"
7550,52.62155,-1.12227,"56954 [POLLEN]"
7551,51.51022,-0.11533,"56956 [POLLEN]"
7552,52.19716,-2.24165,"56957 [POLLEN]"
7553,53.19835,-2.89674,"57070 [POLLEN]"
7554,55.8254,-5.055,"57118 [WEATHER]"
7555,51.5548,-3.7201,"57233 [WEATHER]"
7556,50.73599,-3.53101,"57263 [POLLEN]"
7557,53.3983,0.189,"57266 [WEATHER]"
7558,58.015,-5.3353,"57267 [WEATHER]"
7559,57.7745,-5.596,"60 [WEATHER]"
7560,51.7607,-1.2625,"606 [WEATHER]"
7561,51.669,-0.9948,"609 [WEATHER]"
7562,51.5062,-0.6413,"6182 [WEATHER]"
7563,55.0648,-2.7137,"61875 [WEATHER]"
7564,52.5235,-2.4665,"61908 [WEATHER]"
7565,57.3207,-2.5437,"62004 [WEATHER]"
7566,54.8629,-5.0741,"62015 [WEATHER]"
7548,53.94819,-1.05194,"56936 [POLLEN]"
7567,51.6641,-0.6559,"62031 [WEATHER]"
7568,54.1643,-1.8616,"62033 [WEATHER]"
7569,54.5383,-2.5808,"62037 [WEATHER]"
7570,51.9429,-0.0896,"62057 [WEATHER]"
7571,55.1444,-4.2764,"62076 [WEATHER]"
7572,54.5131,-2.2433,"62082 [WEATHER]"
7573,52.8641,-1.5571,"62119 [WEATHER]"
7574,52.3639,-3.4739,"62142 [WEATHER]"
7575,55.3556,-4.7801,"62149 [WEATHER]"
7576,57.3192,-3.3097,"62151 [WEATHER]"
7577,52.3014,-0.8931,"62152 [WEATHER]"
7578,53.0554,-1.9499,"628 [WEATHER]"
7579,52.6733,-2.8895,"636 [WEATHER]"
7580,52.7243,-2.8404,"638 [WEATHER]"
7581,57.3375,-5.6521,"64 [WEATHER]"
7582,51.9108,-2.5844,"671 [WEATHER]"
7583,51.7085,-1.9945,"688 [WEATHER]"
7584,51.4787,-0.449,"708 [WEATHER]"
7585,51.5482,-0.4153,"709 [WEATHER]"
7586,51.2603,-0.319,"720 [WEATHER]"
7587,50.8961,0.0597,"7228 [WEATHER]"
7588,51.2035,0.1362,"730 [WEATHER]"
7589,51.2965,0.8796,"757 [WEATHER]"
7590,51.3193,-1.4778,"7621 [WEATHER]"
7591,50.7813,-0.6751,"782 [WEATHER]"
7592,50.7587,0.2846,"808 [WEATHER]"
7593,50.8552,0.5716,"818 [WEATHER]"
7594,50.9526,-3.4372,"8231 [WEATHER]"
