region_id,timestamp,val_O3_max,extra_rings_O3_max
WC,2017-01-02,133.0,0
WD,2017-01-02,147.25,1
WF,2017-01-02,158.0,1
WN,2017-01-02,152.0,0
WR,2017-01-02,151.0,1
WS,2017-01-02,149.0,0
WV,2017-01-02,154.0,1
YO,2017-01-02,159.0,0
ZE,2017-01-02,182.0,0
AB,2017-01-03,174.0,0
AL,2017-01-03,166.0,1
B,2017-01-03,146.5,0
BA,2017-01-03,141.0,1
BB,2017-01-03,156.0,1
BD,2017-01-03,151.0,1
BH,2017-01-03,162.0,0
BL,2017-01-03,155.75,1
BN,2017-01-03,134.5,0
BR,2017-01-03,131.0,1
BS,2017-01-03,141.0,0
BT,2017-01-03,160.33333333333334,0
CA,2017-01-03,165.0,1
CB,2017-01-03,147.0,0
CF,2017-01-03,151.0,0
CH,2017-01-03,167.0,0
CM,2017-01-03,135.5,1
CO,2017-01-03,144.0,0
CR,2017-01-03,131.0,1
CT,2017-01-03,144.0,0
CV,2017-01-03,149.5,0
CW,2017-01-03,160.33333333333334,1
DA,2017-01-03,127.5,1
DD,2017-01-03,173.5,1
DE,2017-01-03,152.08333333333334,1
DG,2017-01-03,171.0,0
DH,2017-01-03,156.33333333333334,1
DL,2017-01-03,156.0,1
DN,2017-01-03,155.33333333333334,1
DT,2017-01-03,156.5,1
DY,2017-01-03,151.66666666666666,1
E,2017-01-03,136.0,1
EC,2017-01-03,127.0,1
EH,2017-01-03,164.25,0
EN,2017-01-03,71.5,1
EX,2017-01-03,151.0,0
FK,2017-01-03,164.83333333333334,1
FY,2017-01-03,167.0,0
G,2017-01-03,159.0,0
GL,2017-01-03,149.75,1
GU,2017-01-03,136.2,1
GY,2017-01-03,,2
HA,2017-01-03,99.25,1
HD,2017-01-03,160.66666666666666,1
HG,2017-01-03,157.0,1
HP,2017-01-03,166.0,0
HR,2017-01-03,159.0,1
HS,2017-01-03,,2
HU,2017-01-03,149.0,0
HX,2017-01-03,156.0,2
IG,2017-01-03,127.5,1
IM,2017-01-03,,2
IP,2017-01-03,145.0,0
IV,2017-01-03,181.0,0
JE,2017-01-03,,2
KA,2017-01-03,165.0,1
KT,2017-01-03,131.6,2
KW,2017-01-03,181.0,1
KY,2017-01-03,166.0,1
L,2017-01-03,162.0,0
LA,2017-01-03,161.5,1
LD,2017-01-03,158.25,1
LE,2017-01-03,148.5,0
LL,2017-01-03,167.0,1
LN,2017-01-03,138.0,1
LS,2017-01-03,151.0,0
LU,2017-01-03,166.0,1
M,2017-01-03,151.5,0
ME,2017-01-03,131.66666666666666,1
MK,2017-01-03,161.0,1
ML,2017-01-03,164.5,1
N,2017-01-03,141.0,0
NE,2017-01-03,159.0,0
NG,2017-01-03,138.0,0
NN,2017-01-03,156.0,0
NP,2017-01-03,159.0,0
NR,2017-01-03,144.5,0
NW,2017-01-03,2.0,0
OL,2017-01-03,151.5,1
OX,2017-01-03,150.4,1
PA,2017-01-03,166.0,1
PE,2017-01-03,146.5,1
PH,2017-01-03,173.0,0
PL,2017-01-03,148.0,0
PO,2017-01-03,137.0,0
PR,2017-01-03,156.0,0
RG,2017-01-03,131.0,0
RH,2017-01-03,134.5,1
RM,2017-01-03,124.0,0
S,2017-01-03,160.66666666666666,0
SA,2017-01-03,161.5,0
SE,2017-01-03,131.0,0
SG,2017-01-03,147.0,1
SK,2017-01-03,157.0,1
SL,2017-01-03,140.5,1
SM,2017-01-03,123.33333333333331,2
SN,2017-01-03,136.0,1
SO,2017-01-03,144.0,0
SP,2017-01-03,145.66666666666666,1
SR,2017-01-03,164.0,0
SS,2017-01-03,127.0,0
ST,2017-01-03,154.0,0
SW,2017-01-03,123.33333333333331,1
SY,2017-01-03,163.33333333333334,1
TA,2017-01-03,146.0,1
TD,2017-01-03,164.5,1
TF,2017-01-03,154.0,1
TN,2017-01-03,137.66666666666666,1
TQ,2017-01-03,163.0,0
TR,2017-01-03,148.0,1
TS,2017-01-03,146.0,0
TW,2017-01-03,131.66666666666666,1
UB,2017-01-03,132.5,0
W,2017-01-03,130.0,0
WA,2017-01-03,160.0,0
WC,2017-01-03,109.0,0
WD,2017-01-03,108.25,1
WF,2017-01-03,159.2,1
WN,2017-01-03,164.0,0
WR,2017-01-03,148.0,1
WS,2017-01-03,162.0,0
WV,2017-01-03,158.0,1
YO,2017-01-03,163.0,0
ZE,2017-01-03,184.0,0
AB,2017-01-04,171.0,0
AL,2017-01-04,168.0,1
B,2017-01-04,150.0,0
BA,2017-01-04,152.0,1
BB,2017-01-04,159.0,1
BD,2017-01-04,159.0,1
BH,2017-01-04,160.0,0
BL,2017-01-04,156.75,1
BN,2017-01-04,151.0,0
BR,2017-01-04,144.0,1
BS,2017-01-04,152.0,0
BT,2017-01-04,160.33333333333334,0
CA,2017-01-04,160.0,1
CB,2017-01-04,160.0,0
CF,2017-01-04,154.0,0
CH,2017-01-04,165.0,0
CM,2017-01-04,152.0,1
CO,2017-01-04,160.0,0
CR,2017-01-04,144.0,1
CT,2017-01-04,158.0,0
CV,2017-01-04,152.5,0
CW,2017-01-04,160.0,1
DA,2017-01-04,139.5,1
DD,2017-01-04,169.0,1
DE,2017-01-04,154.25,1
DG,2017-01-04,168.0,0
DH,2017-01-04,157.66666666666666,1
DL,2017-01-04,161.0,1
DN,2017-01-04,159.83333333333334,1
DT,2017-01-04,159.0,1
DY,2017-01-04,153.33333333333334,1
E,2017-01-04,146.5,1
EC,2017-01-04,135.66666666666666,1
EH,2017-01-04,167.5,0
EN,2017-01-04,132.0,1
EX,2017-01-04,158.0,0
FK,2017-01-04,166.83333333333334,1
FY,2017-01-04,166.0,0
G,2017-01-04,164.0,0
GL,2017-01-04,155.0,1
GU,2017-01-04,145.2,1
GY,2017-01-04,,2
HA,2017-01-04,134.0,1
HD,2017-01-04,157.33333333333334,1
HG,2017-01-04,166.5,1
HP,2017-01-04,168.0,0
HR,2017-01-04,163.0,1
HS,2017-01-04,,2
HU,2017-01-04,158.0,0
HX,2017-01-04,156.42857142857142,2
IG,2017-01-04,139.5,1
IM,2017-01-04,,2
IP,2017-01-04,166.0,0
IV,2017-01-04,176.0,0
JE,2017-01-04,,2
KA,2017-01-04,166.0,1
KT,2017-01-04,140.5,2
KW,2017-01-04,176.0,1
KY,2017-01-04,167.4,1
L,2017-01-04,164.0,0
LA,2017-01-04,162.5,1
LD,2017-01-04,157.25,1
LE,2017-01-04,151.5,0
LL,2017-01-04,165.0,1
LN,2017-01-04,155.0,1
LS,2017-01-04,159.0,0
LU,2017-01-04,168.0,1
M,2017-01-04,152.5,0
ME,2017-01-04,148.66666666666666,1
MK,2017-01-04,165.5,1
ML,2017-01-04,167.0,1
N,2017-01-04,149.0,0
NE,2017-01-04,152.0,0
NG,2017-01-04,155.0,0
NN,2017-01-04,163.0,0
NP,2017-01-04,163.0,0
NR,2017-01-04,164.5,0
NW,2017-01-04,115.0,0
OL,2017-01-04,152.5,1
OX,2017-01-04,154.8,1
PA,2017-01-04,165.5,1
PE,2017-01-04,159.5,1
PH,2017-01-04,167.0,0
PL,2017-01-04,158.0,0
PO,2017-01-04,141.0,0
PR,2017-01-04,159.0,0
RG,2017-01-04,138.0,0
RH,2017-01-04,151.0,1
RM,2017-01-04,135.0,0
S,2017-01-04,157.33333333333334,0
SA,2017-01-04,156.0,0
SE,2017-01-04,144.0,0
SG,2017-01-04,160.0,1
SK,2017-01-04,156.0,1
SL,2017-01-04,148.0,1
SM,2017-01-04,131.0,2
SN,2017-01-04,145.0,1
SO,2017-01-04,145.0,0
SP,2017-01-04,147.66666666666666,1
SR,2017-01-04,164.0,0
SS,2017-01-04,153.0,0
ST,2017-01-04,156.0,0
SW,2017-01-04,131.0,1
SY,2017-01-04,159.0,1
TA,2017-01-04,155.0,1
TD,2017-01-04,165.0,1
TF,2017-01-04,156.0,1
TN,2017-01-04,153.33333333333334,1
TQ,2017-01-04,168.0,0
TR,2017-01-04,158.0,1
TS,2017-01-04,157.0,0
TW,2017-01-04,140.33333333333334,1
UB,2017-01-04,143.0,0
W,2017-01-04,135.0,0
WA,2017-01-04,159.0,0
WC,2017-01-04,114.0,0
WD,2017-01-04,142.25,1
WF,2017-01-04,161.0,1
WN,2017-01-04,163.0,0
