region_id,timestamp,val_O3_mean,extra_rings_O3_mean
DH,2017-01-03,56.66666666666666,1
DL,2017-01-03,57.0,1
DN,2017-01-03,52.83333333333334,1
DT,2017-01-03,24.5,1
DY,2017-01-03,43.66666666666666,1
E,2017-01-03,15.5,1
EC,2017-01-03,12.333333333333336,1
EH,2017-01-03,68.25,0
EN,2017-01-03,10.0,1
EX,2017-01-03,20.0,0
FK,2017-01-03,66.16666666666667,1
FY,2017-01-03,68.0,0
G,2017-01-03,53.0,0
GL,2017-01-03,35.0,1
GU,2017-01-03,26.4,1
GY,2017-01-03,,2
HA,2017-01-03,9.25,1
HD,2017-01-03,61.33333333333334,1
HG,2017-01-03,57.0,1
HP,2017-01-03,68.0,0
HR,2017-01-03,40.0,1
HS,2017-01-03,,2
HU,2017-01-03,37.0,0
HX,2017-01-03,51.42857142857143,2
IG,2017-01-03,11.5,1
IM,2017-01-03,,2
IP,2017-01-03,41.0,0
IV,2017-01-03,81.0,0
JE,2017-01-03,,2
KA,2017-01-03,63.5,1
KT,2017-01-03,18.6,2
KW,2017-01-03,81.0,1
KY,2017-01-03,68.8,1
L,2017-01-03,60.0,0
LA,2017-01-03,61.0,1
LD,2017-01-03,40.75,1
LE,2017-01-03,42.0,0
LL,2017-01-03,66.0,1
LN,2017-01-03,28.0,1
LS,2017-01-03,46.0,0
LU,2017-01-03,68.0,1
M,2017-01-03,38.0,0
ME,2017-01-03,15.666666666666664,1
MK,2017-01-03,59.0,1
ML,2017-01-03,66.66666666666667,1
N,2017-01-03,17.0,0
NE,2017-01-03,56.0,0
NG,2017-01-03,28.0,0
NN,2017-01-03,50.0,0
NP,2017-01-03,40.0,0
NR,2017-01-03,42.0,0
NW,2017-01-03,3.0,0
OL,2017-01-03,38.0,1
OX,2017-01-03,41.6,1
PA,2017-01-03,62.0,1
PE,2017-01-03,40.75,1
PH,2017-01-03,71.0,0
PL,2017-01-03,24.0,0
PO,2017-01-03,26.0,0
PR,2017-01-03,54.0,0
RG,2017-01-03,14.0,0
RH,2017-01-03,27.5,1
RM,2017-01-03,9.0,0
S,2017-01-03,61.33333333333334,0
SA,2017-01-03,50.0,0
SE,2017-01-03,14.0,0
SG,2017-01-03,39.0,1
SK,2017-01-03,52.42857142857143,1
SL,2017-01-03,26.5,1
SM,2017-01-03,10.0,2
SN,2017-01-03,19.0,1
SO,2017-01-03,37.0,0
SP,2017-01-03,26.66666666666667,1
SR,2017-01-03,67.0,0
SS,2017-01-03,13.0,0
ST,2017-01-03,48.0,0
SW,2017-01-03,10.0,1
SY,2017-01-03,55.33333333333334,1
TA,2017-01-03,22.0,1
TD,2017-01-03,67.16666666666667,1
TF,2017-01-03,48.0,1
TN,2017-01-03,26.66666666666667,1
TQ,2017-01-03,49.0,0
TR,2017-01-03,24.0,1
TS,2017-01-03,47.0,0
TW,2017-01-03,11.333333333333336,1
UB,2017-01-03,12.0,0
W,2017-01-03,10.0,0
WA,2017-01-03,59.0,0
WC,2017-01-03,6.0,0
WD,2017-01-03,23.75,1
WF,2017-01-03,59.6,1
WN,2017-01-03,63.0,0
WR,2017-01-03,38.0,1
WS,2017-01-03,55.0,0
WV,2017-01-03,51.5,1
YO,2017-01-03,68.0,0
ZE,2017-01-03,84.0,0
AB,2017-01-04,71.0,0
AL,2017-01-04,64.0,1
B,2017-01-04,30.0,0
BA,2017-01-04,27.0,1
BB,2017-01-04,35.0,1
BD,2017-01-04,49.0,1
BH,2017-01-04,36.0,0
BL,2017-01-04,35.75,1
BN,2017-01-04,40.5,0
BR,2017-01-04,29.0,1
BS,2017-01-04,27.0,0
BT,2017-01-04,39.333333333333336,0
CA,2017-01-04,59.5,1
CB,2017-01-04,57.0,0
CF,2017-01-04,33.0,0
CH,2017-01-04,42.0,0
CM,2017-01-04,43.25,1
CO,2017-01-04,55.0,0
CR,2017-01-04,29.0,1
CT,2017-01-04,50.0,0
CV,2017-01-04,39.0,0
CW,2017-01-04,40.333333333333336,1
DA,2017-01-04,24.5,1
DD,2017-01-04,54.5,1
DE,2017-01-04,41.333333333333336,1
DG,2017-01-04,66.0,0
DH,2017-01-04,57.66666666666666,1
DL,2017-01-04,60.33333333333334,1
DN,2017-01-04,54.0,1
DT,2017-01-04,33.0,1
DY,2017-01-04,34.333333333333336,1
E,2017-01-04,32.0,1
EC,2017-01-04,26.0,1
EH,2017-01-04,60.5,0
EN,2017-01-04,23.5,1
EX,2017-01-04,30.0,0
FK,2017-01-04,51.33333333333334,1
FY,2017-01-04,48.0,0
G,2017-01-04,28.0,0
GL,2017-01-04,39.75,1
GU,2017-01-04,37.8,1
GY,2017-01-04,,2
HA,2017-01-04,22.75,1
HD,2017-01-04,53.66666666666666,1
HG,2017-01-04,61.5,1
HP,2017-01-04,64.0,0
HR,2017-01-04,54.0,1
HS,2017-01-04,,2
HU,2017-01-04,60.0,0
HX,2017-01-04,44.14285714285715,2
IG,2017-01-04,24.5,1
IM,2017-01-04,,2
IP,2017-01-04,62.0,0
IV,2017-01-04,78.0,0
JE,2017-01-04,,2
KA,2017-01-04,47.0,1
KT,2017-01-04,31.1,2
KW,2017-01-04,78.0,1
KY,2017-01-04,56.0,1
L,2017-01-04,36.0,0
LA,2017-01-04,41.5,1
LD,2017-01-04,48.25,1
LE,2017-01-04,45.5,0
LL,2017-01-04,42.0,1
LN,2017-01-04,29.0,1
LS,2017-01-04,49.0,0
LU,2017-01-04,64.0,1
M,2017-01-04,32.0,0
ME,2017-01-04,37.0,1
MK,2017-01-04,59.0,1
ML,2017-01-04,56.0,1
N,2017-01-04,35.0,0
NE,2017-01-04,53.0,0
NG,2017-01-04,29.0,0
NN,2017-01-04,54.0,0
NP,2017-01-04,54.0,0
NR,2017-01-04,64.5,0
NW,2017-01-04,12.0,0
OL,2017-01-04,32.0,1
OX,2017-01-04,44.8,1
PA,2017-01-04,33.0,1
PE,2017-01-04,52.75,1
PH,2017-01-04,38.0,0
PL,2017-01-04,44.0,0
PO,2017-01-04,31.0,0
PR,2017-01-04,35.0,0
RG,2017-01-04,28.0,0
RH,2017-01-04,40.5,1
RM,2017-01-04,20.0,0
S,2017-01-04,53.66666666666666,0
SA,2017-01-04,53.0,0
SE,2017-01-04,29.0,0
SG,2017-01-04,57.0,1
SK,2017-01-04,43.42857142857143,1
SL,2017-01-04,37.0,1
SM,2017-01-04,22.0,2
SN,2017-01-04,27.5,1
SO,2017-01-04,49.0,0
SP,2017-01-04,37.66666666666666,1
SR,2017-01-04,66.0,0
SS,2017-01-04,41.0,0
ST,2017-01-04,34.0,0
SW,2017-01-04,22.0,1
SY,2017-01-04,49.33333333333334,1
TA,2017-01-04,28.5,1
TD,2017-01-04,60.16666666666666,1
TF,2017-01-04,34.0,1
TN,2017-01-04,43.66666666666666,1
TQ,2017-01-04,64.0,0
TR,2017-01-04,44.0,1
TS,2017-01-04,54.0,0
TW,2017-01-04,26.33333333333333,1
UB,2017-01-04,28.0,0
W,2017-01-04,23.0,0
WA,2017-01-04,45.0,0
WC,2017-01-04,14.0,0
WD,2017-01-04,33.0,1
WF,2017-01-04,56.8,1
WN,2017-01-04,44.0,0
WR,2017-01-04,34.5,1
WS,2017-01-04,43.0,0
