region_id,timestamp,val_PM10_max,extra_rings_PM10_max
TW,2017-01-04,30.66666666666667,1
UB,2017-01-04,27.0,0
W,2017-01-04,32.5,0
WA,2017-01-04,40.0,0
WC,2017-01-04,43.5,1
WD,2017-01-04,45.33333333333334,1
WF,2017-01-04,22.125,1
WN,2017-01-04,39.75,1
WR,2017-01-04,24.33333333333333,1
WS,2017-01-04,35.5,1
WV,2017-01-04,46.0,1
YO,2017-01-04,28.5,0
ZE,2017-01-04,,2
AB,2017-01-05,21.0,0
AL,2017-01-05,57.0,1
B,2017-01-05,68.5,0
BA,2017-01-05,65.14285714285714,2
BB,2017-01-05,70.0,2
BD,2017-01-05,108.0,1
BH,2017-01-05,72.0,1
BL,2017-01-05,61.0,1
BN,2017-01-05,54.0,1
BR,2017-01-05,107.0,1
BS,2017-01-05,45.5,1
BT,2017-01-05,46.2,0
CA,2017-01-05,33.0,0
CB,2017-01-05,57.0,1
CF,2017-01-05,49.0,0
CH,2017-01-05,47.0,1
CM,2017-01-05,57.0,1
CO,2017-01-05,56.25,2
CR,2017-01-05,80.5,1
CT,2017-01-05,38.5,1
CV,2017-01-05,32.5,0
CW,2017-01-05,51.5,1
DA,2017-01-05,63.25,1
DD,2017-01-05,21.0,1
DE,2017-01-05,57.27272727272727,1
DG,2017-01-05,33.0,1
DH,2017-01-05,25.0,1
DL,2017-01-05,32.5,1
DN,2017-01-05,36.0,0
DT,2017-01-05,72.0,1
DY,2017-01-05,68.5,1
E,2017-01-05,107.0,1
EC,2017-01-05,79.0,1
EH,2017-01-05,16.0,0
EN,2017-01-05,71.66666666666667,1
EX,2017-01-05,72.0,0
FK,2017-01-05,28.0,0
FY,2017-01-05,41.0,2
G,2017-01-05,29.0,0
GL,2017-01-05,39.0,1
GU,2017-01-05,69.4,1
GY,2017-01-05,,2
HA,2017-01-05,83.2,1
HD,2017-01-05,63.0,1
HG,2017-01-05,75.75,1
HP,2017-01-05,74.5,1
HR,2017-01-05,45.5,1
HS,2017-01-05,,2
HU,2017-01-05,54.0,0
HX,2017-01-05,75.28571428571429,2
IG,2017-01-05,88.0,1
IM,2017-01-05,,2
IP,2017-01-05,54.0,1
IV,2017-01-05,21.0,1
JE,2017-01-05,,2
KA,2017-01-05,25.33333333333333,1
KT,2017-01-05,54.0,1
KW,2017-01-05,21.0,2
KY,2017-01-05,22.0,1
L,2017-01-05,49.0,0
LA,2017-01-05,33.0,1
LD,2017-01-05,38.2,1
LE,2017-01-05,51.0,0
LL,2017-01-05,36.25,2
LN,2017-01-05,55.33333333333334,1
LS,2017-01-05,108.0,0
LU,2017-01-05,57.0,1
M,2017-01-05,61.0,0
ME,2017-01-05,38.5,0
MK,2017-01-05,57.0,1
ML,2017-01-05,25.5,1
N,2017-01-05,69.66666666666667,1
NE,2017-01-05,28.0,0
NG,2017-01-05,65.0,0
NN,2017-01-05,38.66666666666666,1
NP,2017-01-05,45.5,0
NR,2017-01-05,54.0,0
NW,2017-01-05,79.0,0
OL,2017-01-05,61.0,1
OX,2017-01-05,53.5,1
PA,2017-01-05,18.0,0
PE,2017-01-05,58.4,1
PH,2017-01-05,22.33333333333333,1
PL,2017-01-05,72.0,1
PO,2017-01-05,72.0,1
PR,2017-01-05,49.0,1
RG,2017-01-05,74.5,0
RH,2017-01-05,54.0,0
RM,2017-01-05,69.0,0
S,2017-01-05,63.0,0
SA,2017-01-05,25.5,0
SE,2017-01-05,107.0,0
SG,2017-01-05,57.0,0
SK,2017-01-05,59.14285714285714,1
SL,2017-01-05,70.66666666666667,1
SM,2017-01-05,81.4,2
SN,2017-01-05,74.5,1
SO,2017-01-05,72.0,0
SP,2017-01-05,73.25,1
SR,2017-01-05,25.0,1
SS,2017-01-05,45.0,0
ST,2017-01-05,58.0,0
SW,2017-01-05,88.25,1
SY,2017-01-05,25.5,1
TA,2017-01-05,72.0,1
TD,2017-01-05,25.66666666666667,1
TF,2017-01-05,58.0,1
TN,2017-01-05,43.66666666666666,1
TQ,2017-01-05,72.0,1
TR,2017-01-05,72.0,2
TS,2017-01-05,23.5,0
TW,2017-01-05,86.0,1
UB,2017-01-05,63.0,0
W,2017-01-05,97.5,0
WA,2017-01-05,45.0,0
WC,2017-01-05,51.0,0
WD,2017-01-05,73.66666666666667,1
WF,2017-01-05,66.0,1
WN,2017-01-05,54.0,1
WR,2017-01-05,50.5,1
WS,2017-01-05,65.0,1
WV,2017-01-05,58.0,1
YO,2017-01-05,43.5,0
ZE,2017-01-05,,2
AB,2017-01-06,31.0,0
AL,2017-01-06,54.0,1
B,2017-01-06,45.0,0
BA,2017-01-06,50.0,2
BB,2017-01-06,44.5,2
BD,2017-01-06,79.5,1
BH,2017-01-06,54.0,1
BL,2017-01-06,31.5,1
BN,2017-01-06,64.0,1
BR,2017-01-06,96.0,1
BS,2017-01-06,41.0,1
BT,2017-01-06,25.4,0
CA,2017-01-06,23.0,0
CB,2017-01-06,54.0,1
CF,2017-01-06,47.0,0
CH,2017-01-06,26.5,1
CM,2017-01-06,59.0,1
CO,2017-01-06,50.5,2
CR,2017-01-06,80.0,1
CT,2017-01-06,32.5,1
CV,2017-01-06,58.5,0
CW,2017-01-06,35.0,1
DA,2017-01-06,55.25,1
DD,2017-01-06,31.0,1
DE,2017-01-06,47.81818181818182,1
DG,2017-01-06,23.0,1
DH,2017-01-06,23.0,1
DL,2017-01-06,23.0,1
DN,2017-01-06,29.0,0
DT,2017-01-06,56.0,2
DY,2017-01-06,45.0,1
E,2017-01-06,96.0,1
EC,2017-01-06,76.0,1
EH,2017-01-06,15.0,0
EN,2017-01-06,72.33333333333333,1
EX,2017-01-06,50.0,3
FK,2017-01-06,30.0,0
FY,2017-01-06,22.5,2
G,2017-01-06,23.5,0
GL,2017-01-06,49.75,1
GU,2017-01-06,58.0,1
GY,2017-01-06,,2
HA,2017-01-06,86.0,1
HD,2017-01-06,40.66666666666666,1
HG,2017-01-06,79.5,1
HP,2017-01-06,60.0,1
HR,2017-01-06,41.0,1
HS,2017-01-06,,2
HU,2017-01-06,32.0,0
HX,2017-01-06,49.14285714285714,2
IG,2017-01-06,78.0,1
IM,2017-01-06,,2
IP,2017-01-06,25.0,1
IV,2017-01-06,31.0,1
JE,2017-01-06,,2
KA,2017-01-06,24.66666666666667,1
KT,2017-01-06,64.0,1
KW,2017-01-06,31.0,2
KY,2017-01-06,22.5,1
L,2017-01-06,22.0,0
LA,2017-01-06,23.0,1
LD,2017-01-06,43.5,1
LE,2017-01-06,62.0,0
LL,2017-01-06,37.0,2
LN,2017-01-06,41.66666666666666,1
LS,2017-01-06,79.5,0
LU,2017-01-06,54.0,1
M,2017-01-06,31.5,0
ME,2017-01-06,32.5,0
MK,2017-01-06,54.0,1
ML,2017-01-06,23.0,1
N,2017-01-06,73.0,1
NE,2017-01-06,20.0,0
NG,2017-01-06,48.0,0
NN,2017-01-06,59.66666666666666,1
NP,2017-01-06,41.0,0
NR,2017-01-06,25.0,0
NW,2017-01-06,81.5,0
OL,2017-01-06,31.5,1
OX,2017-01-06,59.0,1
