region_id,timestamp,val_Temperature.mean,extra_rings_Temperature.mean
TN,2017-01-02,3.45,0
TQ,2017-01-02,2.45,0
TR,2017-01-02,3.2,1
TS,2017-01-02,-1.1,0
TW,2017-01-02,2.77916666666667,0
UB,2017-01-02,1.9125,0
W,2017-01-02,2.345833333333335,1
WA,2017-01-02,-0.7,1
WC,2017-01-02,2.345833333333335,2
WD,2017-01-02,1.9125,1
WF,2017-01-02,1.3041666666666667,1
WN,2017-01-02,-0.4,2
WR,2017-01-02,0.15999999999999998,1
WS,2017-01-02,-0.3333333333333333,1
WV,2017-01-02,0.9,0
YO,2017-01-02,1.41875,0
ZE,2017-01-02,,2
AB,2017-01-03,8.125,0
AL,2017-01-03,1.2,1
B,2017-01-03,3.5,1
BA,2017-01-03,-0.25625,1
BB,2017-01-03,5.6,1
BD,2017-01-03,5.6,0
BH,2017-01-03,-0.2833333333333332,0
BL,2017-01-03,4.999999999999999,2
BN,2017-01-03,-0.95,0
BR,2017-01-03,0.5,1
BS,2017-01-03,-1.4,0
BT,2017-01-03,4.3,0
CA,2017-01-03,4.896527777777779,0
CB,2017-01-03,1.9,0
CF,2017-01-03,0.2285714285714285,1
CH,2017-01-03,4.236111111111111,1
CM,2017-01-03,1.5499999999999998,1
CO,2017-01-03,1.9,1
CR,2017-01-03,-0.6,1
CT,2017-01-03,1.0,1
CV,2017-01-03,-0.25999999999999995,1
CW,2017-01-03,3.316666666666667,1
DA,2017-01-03,1.0,1
DD,2017-01-03,5.0,0
DE,2017-01-03,3.5,0
DG,2017-01-03,5.95,0
DH,2017-01-03,4.15,1
DL,2017-01-03,3.7,0
DN,2017-01-03,3.7583333333333333,1
DT,2017-01-03,0.9,0
DY,2017-01-03,3.3600000000000003,1
E,2017-01-03,1.2,2
EC,2017-01-03,0.5636904761904767,3
EH,2017-01-03,6.666666666666668,0
EN,2017-01-03,1.2,1
EX,2017-01-03,-1.525,0
FK,2017-01-03,8.0,0
FY,2017-01-03,5.6,1
G,2017-01-03,7.1,0
GL,2017-01-03,-2.5,0
GU,2017-01-03,0.6604166666666667,1
GY,2017-01-03,,2
HA,2017-01-03,0.941666666666667,1
HD,2017-01-03,5.004166666666666,1
HG,2017-01-03,3.4,0
HP,2017-01-03,-0.27916666666666745,1
HR,2017-01-03,-2.7,0
HS,2017-01-03,,2
HU,2017-01-03,4.548958333333333,1
HX,2017-01-03,5.6,1
IG,2017-01-03,1.7,2
IM,2017-01-03,,2
IP,2017-01-03,2.1,1
