region_id,timestamp,val_NO2_max,extra_rings_NO2_max
WD,2017-01-02,155.6,1
WF,2017-01-02,222.6,1
WN,2017-01-02,228.0,0
WR,2017-01-02,219.33333333333331,1
WS,2017-01-02,242.5,0
WV,2017-01-02,198.0,1
YO,2017-01-02,225.66666666666663,0
ZE,2017-01-02,,2
AB,2017-01-03,173.0,0
AL,2017-01-03,230.75,1
B,2017-01-03,227.66666666666663,0
BA,2017-01-03,150.0,1
BB,2017-01-03,217.0,0
BD,2017-01-03,217.0,0
BH,2017-01-03,250.5,0
BL,2017-01-03,232.0,1
BN,2017-01-03,238.75,0
BR,2017-01-03,223.0,1
BS,2017-01-03,35.0,0
BT,2017-01-03,163.0,0
CA,2017-01-03,198.0,0
CB,2017-01-03,188.0,0
CF,2017-01-03,203.0,0
CH,2017-01-03,131.0,0
CM,2017-01-03,229.7142857142857,1
CO,2017-01-03,207.0,0
CR,2017-01-03,184.5,1
CT,2017-01-03,227.0,0
CV,2017-01-03,233.33333333333331,0
CW,2017-01-03,170.75,1
DA,2017-01-03,206.0,0
DD,2017-01-03,158.25,1
DE,2017-01-03,174.1818181818182,1
DG,2017-01-03,109.5,0
DH,2017-01-03,179.0,1
DL,2017-01-03,186.45454545454547,1
DN,2017-01-03,172.5,0
DT,2017-01-03,201.6,1
DY,2017-01-03,216.8,1
E,2017-01-03,275.0,0
EC,2017-01-03,243.66666666666663,1
EH,2017-01-03,166.66666666666666,0
EN,2017-01-03,223.57142857142856,1
EX,2017-01-03,121.0,0
FK,2017-01-03,261.5,0
FY,2017-01-03,47.0,0
G,2017-01-03,214.2,0
GL,2017-01-03,209.66666666666663,1
GU,2017-01-03,195.3636363636364,1
GY,2017-01-03,,2
HA,2017-01-03,164.6,1
HD,2017-01-03,153.0,1
HG,2017-01-03,204.33333333333331,1
HP,2017-01-03,192.0,0
HR,2017-01-03,226.66666666666663,1
HS,2017-01-03,,2
HU,2017-01-03,244.0,0
HX,2017-01-03,224.33333333333331,1
IG,2017-01-03,245.5,1
IM,2017-01-03,,2
IP,2017-01-03,186.33333333333331,1
IV,2017-01-03,188.0,0
JE,2017-01-03,,2
KA,2017-01-03,184.28571428571428,1
KT,2017-01-03,137.5,1
KW,2017-01-03,188.0,1
KY,2017-01-03,189.5,1
L,2017-01-03,157.0,0
LA,2017-01-03,182.8,1
LD,2017-01-03,229.0,1
LE,2017-01-03,141.66666666666666,0
LL,2017-01-03,131.0,1
LN,2017-01-03,252.0,0
LS,2017-01-03,212.0,0
LU,2017-01-03,251.0,0
M,2017-01-03,236.5,0
ME,2017-01-03,239.0,0
MK,2017-01-03,226.14285714285717,1
ML,2017-01-03,192.75,1
N,2017-01-03,244.5,0
NE,2017-01-03,160.5,0
NG,2017-01-03,242.0,0
NN,2017-01-03,188.0,0
NP,2017-01-03,226.66666666666663,0
NR,2017-01-03,164.0,0
NW,2017-01-03,160.5,0
OL,2017-01-03,239.0,0
OX,2017-01-03,236.0,0
PA,2017-01-03,213.5,1
PE,2017-01-03,198.27272727272728,1
PH,2017-01-03,114.0,0
PL,2017-01-03,232.0,0
PO,2017-01-03,232.0,0
PR,2017-01-03,235.0,0
RG,2017-01-03,246.5,0
RH,2017-01-03,137.5,0
RM,2017-01-03,244.0,0
S,2017-01-03,131.57142857142858,0
SA,2017-01-03,240.0,0
SE,2017-01-03,231.5,0
SG,2017-01-03,240.0,0
SK,2017-01-03,178.33333333333337,1
SL,2017-01-03,187.2,1
SM,2017-01-03,204.0,2
SN,2017-01-03,200.0,1
SO,2017-01-03,97.0,0
SP,2017-01-03,198.0,1
SR,2017-01-03,190.5,0
SS,2017-01-03,244.5,0
ST,2017-01-03,109.0,0
SW,2017-01-03,237.25,1
SY,2017-01-03,196.4,1
TA,2017-01-03,265.0,0
TD,2017-01-03,154.75,1
TF,2017-01-03,109.0,1
TN,2017-01-03,211.33333333333331,1
TQ,2017-01-03,36.0,0
TR,2017-01-03,232.0,1
TS,2017-01-03,182.5,0
TW,2017-01-03,167.33333333333334,1
UB,2017-01-03,125.5,0
W,2017-01-03,251.0,0
WA,2017-01-03,221.5,0
WC,2017-01-03,235.0,0
WD,2017-01-03,152.8,1
WF,2017-01-03,166.13333333333333,1
WN,2017-01-03,219.0,0
WR,2017-01-03,230.5,1
WS,2017-01-03,200.5,0
WV,2017-01-03,154.75,1
YO,2017-01-03,195.0,0
ZE,2017-01-03,,2
AB,2017-01-04,227.66666666666663,0
AL,2017-01-04,140.0,1
B,2017-01-04,261.6666666666667,0
BA,2017-01-04,260.5,1
BB,2017-01-04,257.0,0
BD,2017-01-04,249.0,0
BH,2017-01-04,256.5,0
BL,2017-01-04,263.125,1
BN,2017-01-04,242.5,0
BR,2017-01-04,152.66666666666666,1
BS,2017-01-04,258.0,0
BT,2017-01-04,117.8,0
CA,2017-01-04,273.0,0
CB,2017-01-04,14.0,0
CF,2017-01-04,195.0,0
CH,2017-01-04,16.0,0
CM,2017-01-04,183.28571428571428,1
CO,2017-01-04,91.0,0
CR,2017-01-04,183.25,1
CT,2017-01-04,200.0,0
CV,2017-01-04,235.0,0
CW,2017-01-04,78.875,1
DA,2017-01-04,213.0,0
DD,2017-01-04,227.5,1
DE,2017-01-04,228.6818181818182,1
DG,2017-01-04,59.5,0
DH,2017-01-04,194.125,1
DL,2017-01-04,217.1818181818182,1
DN,2017-01-04,211.0,0
DT,2017-01-04,197.4,1
DY,2017-01-04,258.4,1
E,2017-01-04,12.0,0
EC,2017-01-04,167.33333333333334,1
EH,2017-01-04,205.33333333333331,0
EN,2017-01-04,156.0,1
EX,2017-01-04,105.5,0
FK,2017-01-04,259.0,0
FY,2017-01-04,251.0,0
G,2017-01-04,84.6,0
GL,2017-01-04,227.66666666666663,1
GU,2017-01-04,199.63636363636363,1
GY,2017-01-04,,2
HA,2017-01-04,171.4,1
HD,2017-01-04,232.0,1
HG,2017-01-04,215.0,1
HP,2017-01-04,47.0,0
HR,2017-01-04,196.66666666666663,1
HS,2017-01-04,,2
HU,2017-01-04,185.5,0
HX,2017-01-04,255.66666666666663,1
IG,2017-01-04,126.0,1
IM,2017-01-04,,2
IP,2017-01-04,101.66666666666669,1
IV,2017-01-04,228.0,0
JE,2017-01-04,,2
KA,2017-01-04,77.42857142857143,1
KT,2017-01-04,244.0,1
KW,2017-01-04,228.0,1
KY,2017-01-04,226.83333333333331,1
L,2017-01-04,264.0,0
LA,2017-01-04,261.0,1
LD,2017-01-04,217.28571428571428,1
LE,2017-01-04,214.66666666666663,0
LL,2017-01-04,16.0,1
LN,2017-01-04,8.0,0
LS,2017-01-04,219.0,0
LU,2017-01-04,19.0,0
M,2017-01-04,267.25,0
ME,2017-01-04,229.5,0
MK,2017-01-04,176.14285714285714,1
ML,2017-01-04,139.66666666666666,1
N,2017-01-04,250.5,0
NE,2017-01-04,200.5,0
NG,2017-01-04,257.0,0
NN,2017-01-04,177.0,0
NP,2017-01-04,196.66666666666663,0
NR,2017-01-04,200.0,0
NW,2017-01-04,42.5,0
OL,2017-01-04,261.0,0
OX,2017-01-04,248.0,0
PA,2017-01-04,146.0,1
PE,2017-01-04,186.45454545454547,1
PH,2017-01-04,227.0,0
PL,2017-01-04,222.0,0
PO,2017-01-04,241.0,0
PR,2017-01-04,275.0,0
RG,2017-01-04,128.0,0
RH,2017-01-04,244.0,0
RM,2017-01-04,247.0,0
S,2017-01-04,225.42857142857144,0
SA,2017-01-04,245.33333333333331,0
SE,2017-01-04,122.5,0
SG,2017-01-04,247.0,0
SK,2017-01-04,194.83333333333331,1
SL,2017-01-04,164.2,1
SM,2017-01-04,205.5,2
SN,2017-01-04,202.0,1
SO,2017-01-04,120.5,0
SP,2017-01-04,168.33333333333334,1
SR,2017-01-04,144.5,0
SS,2017-01-04,218.5,0
ST,2017-01-04,149.0,0
SW,2017-01-04,186.25,1
SY,2017-01-04,153.6,1
TA,2017-01-04,263.0,0
TD,2017-01-04,176.125,1
TF,2017-01-04,149.0,1
TN,2017-01-04,233.0,1
TQ,2017-01-04,234.0,0
TR,2017-01-04,222.0,1
TS,2017-01-04,215.75,0
TW,2017-01-04,257.3333333333333,1
UB,2017-01-04,259.0,0
W,2017-01-04,254.0,0
WA,2017-01-04,75.25,0
WC,2017-01-04,246.0,0
WD,2017-01-04,130.0,1
WF,2017-01-04,219.33333333333331,1
WN,2017-01-04,243.0,0
WR,2017-01-04,248.33333333333331,1
WS,2017-01-04,253.5,0
WV,2017-01-04,201.25,1
YO,2017-01-04,201.0,0
ZE,2017-01-04,,2
AB,2017-01-05,94.0,0
AL,2017-01-05,124.5,1
B,2017-01-05,47.0,0
BA,2017-01-05,145.5,1
BB,2017-01-05,6.0,0
BD,2017-01-05,85.0,0
BH,2017-01-05,35.0,0
BL,2017-01-05,113.625,1
BN,2017-01-05,126.25,0
BR,2017-01-05,107.66666666666669,1
BS,2017-01-05,51.0,0
BT,2017-01-05,165.4,0
CA,2017-01-05,259.0,0
CB,2017-01-05,217.0,0
CF,2017-01-05,232.0,0
CH,2017-01-05,266.5,0
CM,2017-01-05,193.85714285714286,1
CO,2017-01-05,231.0,0
CR,2017-01-05,154.0,1
CT,2017-01-05,235.0,0
CV,2017-01-05,176.33333333333337,0
CW,2017-01-05,137.75,1
DA,2017-01-05,252.0,0
DD,2017-01-05,124.0,1
DE,2017-01-05,133.5909090909091,1
DG,2017-01-05,175.0,0
DH,2017-01-05,200.25,1
DL,2017-01-05,219.45454545454547,1
DN,2017-01-05,130.5,0
DT,2017-01-05,108.8,1
DY,2017-01-05,93.4,1
E,2017-01-05,49.0,0
EC,2017-01-05,117.0,1
EH,2017-01-05,248.5,0
EN,2017-01-05,128.0,1
EX,2017-01-05,117.0,0
FK,2017-01-05,7.0,0
FY,2017-01-05,250.0,0
G,2017-01-05,170.0,0
GL,2017-01-05,174.77777777777774,1
GU,2017-01-05,128.0,1
GY,2017-01-05,,2
HA,2017-01-05,69.6,1
HD,2017-01-05,136.33333333333334,1
HG,2017-01-05,216.83333333333331,1
HP,2017-01-05,3.0,0
HR,2017-01-05,229.66666666666663,1
HS,2017-01-05,,2
HU,2017-01-05,151.5,0
HX,2017-01-05,38.333333333333336,1
IG,2017-01-05,32.75,1
IM,2017-01-05,,2
IP,2017-01-05,238.66666666666663,1
IV,2017-01-05,247.0,0
JE,2017-01-05,,2
KA,2017-01-05,171.42857142857142,1
KT,2017-01-05,272.5,1
KW,2017-01-05,247.0,1
KY,2017-01-05,145.0,1
L,2017-01-05,246.0,0
LA,2017-01-05,171.8,1
LD,2017-01-05,200.42857142857144,1
LE,2017-01-05,167.0,0
LL,2017-01-05,266.5,1
LN,2017-01-05,33.0,0
LS,2017-01-05,243.5,0
LU,2017-01-05,123.0,0
M,2017-01-05,90.0,0
ME,2017-01-05,251.0,0
MK,2017-01-05,146.85714285714286,1
ML,2017-01-05,155.54545454545453,1
N,2017-01-05,160.0,0
NE,2017-01-05,160.0,0
