region_id,timestamp,val_SO2_max,extra_rings_SO2_max
LU,2017-01-04,77.75,3
M,2017-01-04,53.0,0
ME,2017-01-04,53.0,0
MK,2017-01-04,97.0,2
ML,2017-01-04,64.0,1
N,2017-01-04,91.5,1
NE,2017-01-04,86.0,2
NG,2017-01-04,97.0,0
NN,2017-01-04,97.0,2
NP,2017-01-04,108.0,1
NR,2017-01-04,97.0,2
NW,2017-01-04,108.0,0
OL,2017-01-04,53.0,1
OX,2017-01-04,40.5,2
PA,2017-01-04,64.0,1
PE,2017-01-04,97.0,1
PH,2017-01-04,64.0,1
PL,2017-01-04,52.0,2
PO,2017-01-04,53.0,1
PR,2017-01-04,97.0,1
RG,2017-01-04,53.0,1
RH,2017-01-04,53.0,1
RM,2017-01-04,53.0,0
S,2017-01-04,58.5,0
SA,2017-01-04,28.0,0
SE,2017-01-04,64.0,1
SG,2017-01-04,86.0,2
SK,2017-01-04,56.66666666666666,1
SL,2017-01-04,72.25,2
SM,2017-01-04,75.0,2
SN,2017-01-04,28.0,1
SO,2017-01-04,53.0,0
SP,2017-01-04,40.5,1
SR,2017-01-04,108.0,1
SS,2017-01-04,53.0,1
ST,2017-01-04,66.75,2
SW,2017-01-04,75.0,1
SY,2017-01-04,58.33333333333334,1
TA,2017-01-04,52.0,0
TD,2017-01-04,64.0,1
TF,2017-01-04,58.33333333333334,2
TN,2017-01-04,53.0,1
TQ,2017-01-04,52.0,2
TR,2017-01-04,52.0,3
TS,2017-01-04,108.0,0
TW,2017-01-04,75.0,1
UB,2017-01-04,75.0,1
W,2017-01-04,75.0,0
WA,2017-01-04,75.0,1
WC,2017-01-04,75.0,0
WD,2017-01-04,108.0,1
WF,2017-01-04,56.66666666666666,1
WN,2017-01-04,75.0,1
WR,2017-01-04,58.33333333333334,2
WS,2017-01-04,71.33333333333333,2
WV,2017-01-04,58.33333333333334,2
YO,2017-01-04,89.66666666666669,1
ZE,2017-01-04,,2
AB,2017-01-05,4.0,2
AL,2017-01-05,51.0,2
B,2017-01-05,32.666666666666664,2
BA,2017-01-05,135.0,0
BB,2017-01-05,68.0,2
BD,2017-01-05,53.0,1
BH,2017-01-05,64.0,1
BL,2017-01-05,108.0,1
BN,2017-01-05,53.0,0
BR,2017-01-05,69.25,2
BS,2017-01-05,100.0,1
BT,2017-01-05,89.66666666666669,0
CA,2017-01-05,97.0,2
CB,2017-01-05,44.0,2
CF,2017-01-05,108.0,0
CH,2017-01-05,64.5,1
CM,2017-01-05,52.0,1
CO,2017-01-05,52.0,2
CR,2017-01-05,65.2,2
CT,2017-01-05,75.0,1
CV,2017-01-05,32.666666666666664,2
CW,2017-01-05,58.57142857142857,2
DA,2017-01-05,63.5,1
DD,2017-01-05,50.5,2
DE,2017-01-05,32.666666666666664,1
DG,2017-01-05,50.5,2
DH,2017-01-05,97.0,1
DL,2017-01-05,97.0,1
DN,2017-01-05,25.5,1
DT,2017-01-05,100.0,1
DY,2017-01-05,65.66666666666667,2
E,2017-01-05,66.66666666666667,2
EC,2017-01-05,97.0,1
EH,2017-01-05,97.0,0
EN,2017-01-05,51.0,1
EX,2017-01-05,65.0,1
FK,2017-01-05,4.0,0
FY,2017-01-05,43.0,2
G,2017-01-05,4.0,1
GL,2017-01-05,102.66666666666669,2
GU,2017-01-05,58.5,1
GY,2017-01-05,,2
HA,2017-01-05,50.0,1
HD,2017-01-05,31.0,1
HG,2017-01-05,53.0,1
HP,2017-01-05,57.5,2
HR,2017-01-05,76.25,2
HS,2017-01-05,,2
HU,2017-01-05,4.0,0
HX,2017-01-05,55.75,2
IG,2017-01-05,52.0,1
IM,2017-01-05,,2
IP,2017-01-05,36.0,2
IV,2017-01-05,4.0,2
JE,2017-01-05,,2
KA,2017-01-05,50.5,2
KT,2017-01-05,65.75,2
KW,2017-01-05,4.0,3
KY,2017-01-05,50.5,1
L,2017-01-05,43.0,0
LA,2017-01-05,64.33333333333333,2
LD,2017-01-05,73.0,1
LE,2017-01-05,36.0,1
LL,2017-01-05,86.0,0
LN,2017-01-05,36.0,1
LS,2017-01-05,53.0,0
LU,2017-01-05,50.75,3
M,2017-01-05,108.0,0
ME,2017-01-05,75.0,0
MK,2017-01-05,36.0,2
ML,2017-01-05,50.5,1
N,2017-01-05,74.0,1
NE,2017-01-05,97.0,2
NG,2017-01-05,36.0,0
NN,2017-01-05,36.0,2
NP,2017-01-05,108.0,1
NR,2017-01-05,36.0,2
NW,2017-01-05,51.0,0
OL,2017-01-05,108.0,1
OX,2017-01-05,99.5,2
PA,2017-01-05,4.0,1
PE,2017-01-05,36.0,1
PH,2017-01-05,4.0,1
PL,2017-01-05,65.0,2
