region_id,timestamp,val_Pressure.max,extra_rings_Pressure.max
HU,2017-01-03,1011.4,6
HX,2017-01-03,1011.4,5
IG,2017-01-03,1026.75,3
IM,2017-01-03,,2
IP,2017-01-03,1021.025,5
IV,2017-01-03,1011.4,10
JE,2017-01-03,,2
KA,2017-01-03,1011.4,7
KT,2017-01-03,1027.3,1
KW,2017-01-03,1011.4,11
KY,2017-01-03,1011.4,8
L,2017-01-03,1011.4,2
LA,2017-01-03,1011.4,4
LD,2017-01-03,1011.4,2
LE,2017-01-03,1014.0,4
LL,2017-01-03,1011.4,0
LN,2017-01-03,1021.025,5
LS,2017-01-03,1011.4,6
LU,2017-01-03,1021.025,3
M,2017-01-03,1011.4,3
ME,2017-01-03,1027.3,4
MK,2017-01-03,1021.025,3
ML,2017-01-03,1011.4,7
N,2017-01-03,1026.75,3
NE,2017-01-03,1011.4,6
NG,2017-01-03,1019.1,5
NN,2017-01-03,1015.3,3
NP,2017-01-03,1014.0,3
NR,2017-01-03,1021.025,5
NW,2017-01-03,1026.75,2
OL,2017-01-03,1011.4,4
OX,2017-01-03,1015.3,2
PA,2017-01-03,1011.4,8
PE,2017-01-03,1021.025,4
PH,2017-01-03,1011.4,9
PL,2017-01-03,1015.3,3
PO,2017-01-03,1019.3,2
PR,2017-01-03,1011.4,3
RG,2017-01-03,1015.3,1
RH,2017-01-03,1027.3,2
RM,2017-01-03,1027.3,3
S,2017-01-03,1011.4,4
SA,2017-01-03,1011.4,2
SE,2017-01-03,1027.3,2
SG,2017-01-03,1026.2,3
SK,2017-01-03,1011.4,3
SL,2017-01-03,1026.75,1
SM,2017-01-03,1027.3,2
SN,2017-01-03,1015.3,1
SO,2017-01-03,1015.3,1
SP,2017-01-03,1015.3,0
SR,2017-01-03,1011.4,7
SS,2017-01-03,1026.75,4
ST,2017-01-03,1011.4,3
SW,2017-01-03,1027.3,1
SY,2017-01-03,1011.4,1
TA,2017-01-03,1015.3,2
TD,2017-01-03,1011.4,6
TF,2017-01-03,1011.4,2
TN,2017-01-03,1027.3,3
TQ,2017-01-03,1015.3,3
TR,2017-01-03,1015.3,4
TS,2017-01-03,1011.4,6
TW,2017-01-03,1027.3,0
UB,2017-01-03,1026.2,0
W,2017-01-03,1026.75,1
WA,2017-01-03,1011.4,2
WC,2017-01-03,1026.75,2
WD,2017-01-03,1026.2,1
WF,2017-01-03,1011.4,5
WN,2017-01-03,1011.4,3
WR,2017-01-03,1011.4,2
WS,2017-01-03,1011.4,3
WV,2017-01-03,1011.4,2
YO,2017-01-03,1011.4,6
ZE,2017-01-03,,2
AB,2017-01-04,1011.9,10
AL,2017-01-04,1026.0,2
B,2017-01-04,1011.9,3
BA,2017-01-04,1014.9,1
BB,2017-01-04,1011.9,4
BD,2017-01-04,1011.9,5
BH,2017-01-04,1014.9,1
BL,2017-01-04,1011.9,4
BN,2017-01-04,1027.1,2
BR,2017-01-04,1027.1,3
BS,2017-01-04,1014.9,2
BT,2017-01-04,,2
CA,2017-01-04,1011.9,5
CB,2017-01-04,1026.0,4
CF,2017-01-04,1011.9,3
CH,2017-01-04,1011.9,1
CM,2017-01-04,1026.0,3
CO,2017-01-04,1026.0,4
CR,2017-01-04,1027.1,2
CT,2017-01-04,1027.1,4
CV,2017-01-04,1013.9,3
CW,2017-01-04,1011.9,2
DA,2017-01-04,1027.1,3
DD,2017-01-04,1011.9,9
DE,2017-01-04,1013.9,4
DG,2017-01-04,1011.9,6
DH,2017-01-04,1011.9,6
DL,2017-01-04,1011.9,5
DN,2017-01-04,1011.9,5
DT,2017-01-04,1014.9,1
DY,2017-01-04,1011.9,2
E,2017-01-04,1026.55,3
EC,2017-01-04,1026.55,3
EH,2017-01-04,1011.9,7
EN,2017-01-04,1026.0,2
EX,2017-01-04,1014.9,2
FK,2017-01-04,1011.9,8
FY,2017-01-04,1011.9,4
G,2017-01-04,1011.9,8
GL,2017-01-04,1014.9,2
GU,2017-01-04,1027.1,1
GY,2017-01-04,,2
HA,2017-01-04,1026.0,1
HD,2017-01-04,1011.9,4
HG,2017-01-04,1011.9,6
HP,2017-01-04,1020.725,2
HR,2017-01-04,1011.9,2
HS,2017-01-04,,2
HU,2017-01-04,1011.9,6
HX,2017-01-04,1011.9,5
IG,2017-01-04,1026.55,3
IM,2017-01-04,,2
IP,2017-01-04,1020.725,5
IV,2017-01-04,1011.9,10
JE,2017-01-04,,2
KA,2017-01-04,1011.9,7
KT,2017-01-04,1027.1,1
KW,2017-01-04,1011.9,11
KY,2017-01-04,1011.9,8
L,2017-01-04,1011.9,2
LA,2017-01-04,1011.9,4
LD,2017-01-04,1011.9,2
LE,2017-01-04,1013.9,4
LL,2017-01-04,1011.9,0
LN,2017-01-04,1020.725,5
LS,2017-01-04,1011.9,6
LU,2017-01-04,1020.725,3
M,2017-01-04,1011.9,3
ME,2017-01-04,1027.1,4
MK,2017-01-04,1020.725,3
ML,2017-01-04,1011.9,7
N,2017-01-04,1026.55,3
NE,2017-01-04,1011.9,6
NG,2017-01-04,1018.9599999999997,5
NN,2017-01-04,1014.9,3
NP,2017-01-04,1013.9,3
NR,2017-01-04,1020.725,5
NW,2017-01-04,1026.55,2
OL,2017-01-04,1011.9,4
OX,2017-01-04,1014.9,2
PA,2017-01-04,1011.9,8
PE,2017-01-04,1020.725,4
PH,2017-01-04,1011.9,9
PL,2017-01-04,1014.9,3
PO,2017-01-04,1018.9666666666666,2
PR,2017-01-04,1011.9,3
RG,2017-01-04,1014.9,1
RH,2017-01-04,1027.1,2
RM,2017-01-04,1027.1,3
S,2017-01-04,1011.9,4
SA,2017-01-04,1011.9,2
SE,2017-01-04,1027.1,2
SG,2017-01-04,1026.0,3
SK,2017-01-04,1011.9,3
SL,2017-01-04,1026.55,1
SM,2017-01-04,1027.1,2
SN,2017-01-04,1014.9,1
SO,2017-01-04,1014.9,1
