region_id,timestamp,val_NO2_mean,extra_rings_NO2_mean
M,2017-01-03,29.25,0
ME,2017-01-03,44.0,0
MK,2017-01-03,31.42857142857143,1
ML,2017-01-03,14.833333333333336,1
N,2017-01-03,51.5,0
NE,2017-01-03,13.0,0
NG,2017-01-03,40.0,0
NN,2017-01-03,17.0,0
NP,2017-01-03,63.33333333333334,0
NR,2017-01-03,19.0,0
NW,2017-01-03,84.5,0
OL,2017-01-03,29.0,0
OX,2017-01-03,34.5,0
PA,2017-01-03,17.25,1
PE,2017-01-03,30.72727272727273,1
PH,2017-01-03,4.0,0
PL,2017-01-03,32.0,0
PO,2017-01-03,30.0,0
PR,2017-01-03,17.0,0
RG,2017-01-03,50.0,0
RH,2017-01-03,40.0,0
RM,2017-01-03,56.0,0
S,2017-01-03,13.857142857142858,0
SA,2017-01-03,21.33333333333333,0
SE,2017-01-03,44.0,0
SG,2017-01-03,43.0,0
SK,2017-01-03,21.61111111111111,1
SL,2017-01-03,43.6,1
SM,2017-01-03,44.83333333333334,2
SN,2017-01-03,49.5,1
SO,2017-01-03,41.0,0
SP,2017-01-03,46.0,1
SR,2017-01-03,8.5,0
SS,2017-01-03,53.0,0
ST,2017-01-03,37.0,0
SW,2017-01-03,47.25,1
SY,2017-01-03,17.8,1
TA,2017-01-03,48.0,0
TD,2017-01-03,10.875,1
TF,2017-01-03,37.0,1
TN,2017-01-03,36.444444444444436,1
TQ,2017-01-03,3.0,0
TR,2017-01-03,32.0,1
TS,2017-01-03,10.25,0
TW,2017-01-03,56.66666666666666,1
UB,2017-01-03,58.0,0
W,2017-01-03,54.0,0
WA,2017-01-03,18.0,0
WC,2017-01-03,47.0,0
WD,2017-01-03,57.4,1
WF,2017-01-03,16.6,1
WN,2017-01-03,10.0,0
WR,2017-01-03,34.333333333333336,1
WS,2017-01-03,15.5,0
WV,2017-01-03,26.25,1
YO,2017-01-03,14.0,0
ZE,2017-01-03,,2
AB,2017-01-04,32.333333333333336,0
AL,2017-01-04,35.25,1
B,2017-01-04,48.33333333333334,0
BA,2017-01-04,61.0,0
BB,2017-01-04,38.0,0
BD,2017-01-04,40.0,0
BH,2017-01-04,35.0,0
BL,2017-01-04,40.375,1
BN,2017-01-04,30.25,0
BR,2017-01-04,41.66666666666666,1
BS,2017-01-04,45.0,0
BT,2017-01-04,44.8,0
CA,2017-01-04,51.0,0
CB,2017-01-04,6.0,0
CF,2017-01-04,19.0,0
CH,2017-01-04,44.5,0
CM,2017-01-04,28.857142857142854,1
CO,2017-01-04,13.0,0
CR,2017-01-04,41.5,1
CT,2017-01-04,16.0,0
