region_id,timestamp,val_Pressure.mean,extra_rings_Pressure.mean
DN,2017-01-03,1008.24166666667,5
DT,2017-01-03,1013.1625,1
DY,2017-01-03,1008.24166666667,2
E,2017-01-03,1024.404166666665,3
EC,2017-01-03,1024.404166666665,3
EH,2017-01-03,1008.24166666667,7
EN,2017-01-03,1023.79583333333,2
EX,2017-01-03,1013.1625,2
FK,2017-01-03,1008.24166666667,8
FY,2017-01-03,1008.24166666667,4
G,2017-01-03,1008.24166666667,8
GL,2017-01-03,1013.1625,2
GU,2017-01-03,1025.0125,1
GY,2017-01-03,,2
HA,2017-01-03,1023.79583333333,1
HD,2017-01-03,1008.24166666667,4
HG,2017-01-03,1008.24166666667,6
HP,2017-01-03,1018.7833333333324,2
HR,2017-01-03,1008.24166666667,2
HS,2017-01-03,,2
HU,2017-01-03,1008.24166666667,6
HX,2017-01-03,1008.24166666667,5
IG,2017-01-03,1024.404166666665,3
IM,2017-01-03,,2
IP,2017-01-03,1018.7833333333324,5
IV,2017-01-03,1008.24166666667,10
JE,2017-01-03,,2
KA,2017-01-03,1008.24166666667,7
KT,2017-01-03,1025.0125,1
KW,2017-01-03,1008.24166666667,11
KY,2017-01-03,1008.24166666667,8
L,2017-01-03,1008.24166666667,2
LA,2017-01-03,1008.24166666667,4
LD,2017-01-03,1008.24166666667,2
LE,2017-01-03,1011.5222222222231,4
LL,2017-01-03,1008.24166666667,0
LN,2017-01-03,1018.7833333333324,5
LS,2017-01-03,1008.24166666667,6
LU,2017-01-03,1018.7833333333324,3
M,2017-01-03,1008.24166666667,3
ME,2017-01-03,1025.0125,4
MK,2017-01-03,1018.7833333333324,3
ML,2017-01-03,1008.24166666667,7
N,2017-01-03,1024.404166666665,3
NE,2017-01-03,1008.24166666667,6
NG,2017-01-03,1016.675,5
NN,2017-01-03,1013.1625,3
NP,2017-01-03,1011.5222222222231,3
NR,2017-01-03,1018.7833333333324,5
NW,2017-01-03,1024.404166666665,2
OL,2017-01-03,1008.24166666667,4
OX,2017-01-03,1013.1625,2
PA,2017-01-03,1008.24166666667,8
PE,2017-01-03,1018.7833333333324,4
PH,2017-01-03,1008.24166666667,9
PL,2017-01-03,1013.1625,3
PO,2017-01-03,1017.1125,2
PR,2017-01-03,1008.24166666667,3
RG,2017-01-03,1013.1625,1
RH,2017-01-03,1025.0125,2
RM,2017-01-03,1025.0125,3
S,2017-01-03,1008.24166666667,4
SA,2017-01-03,1008.24166666667,2
SE,2017-01-03,1025.0125,2
SG,2017-01-03,1023.79583333333,3
SK,2017-01-03,1008.24166666667,3
SL,2017-01-03,1024.404166666665,1
SM,2017-01-03,1025.0125,2
SN,2017-01-03,1013.1625,1
SO,2017-01-03,1013.1625,1
SP,2017-01-03,1013.1625,0
SR,2017-01-03,1008.24166666667,7
SS,2017-01-03,1024.404166666665,4
ST,2017-01-03,1008.24166666667,3
SW,2017-01-03,1025.0125,1
SY,2017-01-03,1008.24166666667,1
TA,2017-01-03,1013.1625,2
TD,2017-01-03,1008.24166666667,6
TF,2017-01-03,1008.24166666667,2
TN,2017-01-03,1025.0125,3
TQ,2017-01-03,1013.1625,3
TR,2017-01-03,1013.1625,4
TS,2017-01-03,1008.24166666667,6
TW,2017-01-03,1025.0125,0
UB,2017-01-03,1023.79583333333,0
W,2017-01-03,1024.404166666665,1
WA,2017-01-03,1008.24166666667,2
WC,2017-01-03,1024.404166666665,2
WD,2017-01-03,1023.79583333333,1
WF,2017-01-03,1008.24166666667,5
WN,2017-01-03,1008.24166666667,3
WR,2017-01-03,1008.24166666667,2
WS,2017-01-03,1008.24166666667,3
WV,2017-01-03,1008.24166666667,2
YO,2017-01-03,1008.24166666667,6
ZE,2017-01-03,,2
AB,2017-01-04,1007.41666666667,10
AL,2017-01-04,1021.4416666666701,2
B,2017-01-04,1007.41666666667,3
BA,2017-01-04,1010.8895833333348,1
BB,2017-01-04,1007.41666666667,4
BD,2017-01-04,1007.41666666667,5
BH,2017-01-04,1010.8895833333348,1
BL,2017-01-04,1007.41666666667,4
BN,2017-01-04,1022.57083333333,2
BR,2017-01-04,1022.57083333333,3
BS,2017-01-04,1010.8895833333348,2
BT,2017-01-04,,2
CA,2017-01-04,1007.41666666667,5
CB,2017-01-04,1021.4416666666701,4
CF,2017-01-04,1007.41666666667,3
CH,2017-01-04,1007.41666666667,1
CM,2017-01-04,1021.4416666666701,3
CO,2017-01-04,1021.4416666666701,4
CR,2017-01-04,1022.57083333333,2
CT,2017-01-04,1022.57083333333,4
CV,2017-01-04,1009.7319444444464,3
CW,2017-01-04,1007.41666666667,2
DA,2017-01-04,1022.57083333333,3
DD,2017-01-04,1007.41666666667,9
DE,2017-01-04,1009.7319444444464,4
DG,2017-01-04,1007.41666666667,6
DH,2017-01-04,1007.41666666667,6
DL,2017-01-04,1007.41666666667,5
DN,2017-01-04,1007.41666666667,5
DT,2017-01-04,1010.8895833333348,1
DY,2017-01-04,1007.41666666667,2
E,2017-01-04,1022.00625,3
EC,2017-01-04,1022.00625,3
EH,2017-01-04,1007.41666666667,7
EN,2017-01-04,1021.4416666666701,2
EX,2017-01-04,1010.8895833333348,2
FK,2017-01-04,1007.41666666667,8
FY,2017-01-04,1007.41666666667,4
G,2017-01-04,1007.41666666667,8
GL,2017-01-04,1010.8895833333348,2
GU,2017-01-04,1022.57083333333,1
GY,2017-01-04,,2
HA,2017-01-04,1021.4416666666701,1
HD,2017-01-04,1007.41666666667,4
HG,2017-01-04,1007.41666666667,6
HP,2017-01-04,1016.4479166666673,2
HR,2017-01-04,1007.41666666667,2
HS,2017-01-04,,2
HU,2017-01-04,1007.41666666667,6
HX,2017-01-04,1007.41666666667,5
IG,2017-01-04,1022.00625,3
IM,2017-01-04,,2
IP,2017-01-04,1016.4479166666673,5
IV,2017-01-04,1007.41666666667,10
JE,2017-01-04,,2
KA,2017-01-04,1007.41666666667,7
KT,2017-01-04,1022.57083333333,1
KW,2017-01-04,1007.41666666667,11
KY,2017-01-04,1007.41666666667,8
L,2017-01-04,1007.41666666667,2
LA,2017-01-04,1007.41666666667,4
LD,2017-01-04,1007.41666666667,2
LE,2017-01-04,1009.7319444444464,4
LL,2017-01-04,1007.41666666667,0
LN,2017-01-04,1016.4479166666673,5
LS,2017-01-04,1007.41666666667,6
LU,2017-01-04,1016.4479166666673,3
M,2017-01-04,1007.41666666667,3
ME,2017-01-04,1022.57083333333,4
MK,2017-01-04,1016.4479166666673,3
ML,2017-01-04,1007.41666666667,7
N,2017-01-04,1022.00625,3
NE,2017-01-04,1007.41666666667,6
NG,2017-01-04,1014.6416666666679,5
NN,2017-01-04,1010.8895833333348,3
NP,2017-01-04,1009.7319444444464,3
NR,2017-01-04,1016.4479166666673,5
NW,2017-01-04,1022.00625,2
OL,2017-01-04,1007.41666666667,4
OX,2017-01-04,1010.8895833333348,2
PA,2017-01-04,1007.41666666667,8
PE,2017-01-04,1016.4479166666673,4
PH,2017-01-04,1007.41666666667,9
PL,2017-01-04,1010.8895833333348,3
PO,2017-01-04,1014.7833333333333,2
PR,2017-01-04,1007.41666666667,3
RG,2017-01-04,1010.8895833333348,1
RH,2017-01-04,1022.57083333333,2
RM,2017-01-04,1022.57083333333,3
S,2017-01-04,1007.41666666667,4
SA,2017-01-04,1007.41666666667,2
SE,2017-01-04,1022.57083333333,2
SG,2017-01-04,1021.4416666666701,3
SK,2017-01-04,1007.41666666667,3
SL,2017-01-04,1022.00625,1
SM,2017-01-04,1022.57083333333,2
SN,2017-01-04,1010.8895833333348,1
SO,2017-01-04,1010.8895833333348,1
SP,2017-01-04,1010.8895833333348,0
SR,2017-01-04,1007.41666666667,7
SS,2017-01-04,1022.00625,4
ST,2017-01-04,1007.41666666667,3
SW,2017-01-04,1022.57083333333,1
SY,2017-01-04,1007.41666666667,1
TA,2017-01-04,1010.8895833333348,2
TD,2017-01-04,1007.41666666667,6
TF,2017-01-04,1007.41666666667,2
TN,2017-01-04,1022.57083333333,3
TQ,2017-01-04,1010.8895833333348,3
TR,2017-01-04,1010.8895833333348,4
TS,2017-01-04,1007.41666666667,6
TW,2017-01-04,1022.57083333333,0
UB,2017-01-04,1021.4416666666701,0
W,2017-01-04,1022.00625,1
WA,2017-01-04,1007.41666666667,2
WC,2017-01-04,1022.00625,2
WD,2017-01-04,1021.4416666666701,1
WF,2017-01-04,1007.41666666667,5
WN,2017-01-04,1007.41666666667,3
WR,2017-01-04,1007.41666666667,2
WS,2017-01-04,1007.41666666667,3
WV,2017-01-04,1007.41666666667,2
YO,2017-01-04,1007.41666666667,6
ZE,2017-01-04,,2
AB,2017-01-05,1013.29583333333,10
AL,2017-01-05,1030.14583333333,2
B,2017-01-05,1013.29583333333,3
BA,2017-01-05,1018.222916666665,1
BB,2017-01-05,1013.29583333333,4
BD,2017-01-05,1013.29583333333,5
BH,2017-01-05,1018.222916666665,1
BL,2017-01-05,1013.29583333333,4
BN,2017-01-05,1031.2333333333302,2
BR,2017-01-05,1031.2333333333302,3
BS,2017-01-05,1018.222916666665,2
BT,2017-01-05,,2
CA,2017-01-05,1013.29583333333,5
CB,2017-01-05,1030.14583333333,4
CF,2017-01-05,1013.29583333333,3
CH,2017-01-05,1013.29583333333,1
CM,2017-01-05,1030.14583333333,3
CO,2017-01-05,1030.14583333333,4
CR,2017-01-05,1031.2333333333302,2
CT,2017-01-05,1031.2333333333302,4
CV,2017-01-05,1016.5805555555535,3
CW,2017-01-05,1013.29583333333,2
DA,2017-01-05,1031.2333333333302,3
DD,2017-01-05,1013.29583333333,9
DE,2017-01-05,1016.5805555555535,4
DG,2017-01-05,1013.29583333333,6
DH,2017-01-05,1013.29583333333,6
DL,2017-01-05,1013.29583333333,5
DN,2017-01-05,1013.29583333333,5
DT,2017-01-05,1018.222916666665,1
DY,2017-01-05,1013.29583333333,2
E,2017-01-05,1030.68958333333,3
EC,2017-01-05,1030.68958333333,3
EH,2017-01-05,1013.29583333333,7
EN,2017-01-05,1030.14583333333,2
EX,2017-01-05,1018.222916666665,2
FK,2017-01-05,1013.29583333333,8
FY,2017-01-05,1013.29583333333,4
G,2017-01-05,1013.29583333333,8
GL,2017-01-05,1018.222916666665,2
GU,2017-01-05,1031.2333333333302,1
GY,2017-01-05,,2
HA,2017-01-05,1030.14583333333,1
HD,2017-01-05,1013.29583333333,4
HG,2017-01-05,1013.29583333333,6
HP,2017-01-05,1024.4562499999975,2
HR,2017-01-05,1013.29583333333,2
HS,2017-01-05,,2
HU,2017-01-05,1013.29583333333,6
HX,2017-01-05,1013.29583333333,5
IG,2017-01-05,1030.68958333333,3
IM,2017-01-05,,2
IP,2017-01-05,1024.4562499999975,5
IV,2017-01-05,1013.29583333333,10
JE,2017-01-05,,2
KA,2017-01-05,1013.29583333333,7
KT,2017-01-05,1031.2333333333302,1
KW,2017-01-05,1013.29583333333,11
KY,2017-01-05,1013.29583333333,8
L,2017-01-05,1013.29583333333,2
LA,2017-01-05,1013.29583333333,4
LD,2017-01-05,1013.29583333333,2
LE,2017-01-05,1016.5805555555535,4
LL,2017-01-05,1013.29583333333,0
LN,2017-01-05,1024.4562499999975,5
LS,2017-01-05,1013.29583333333,6
LU,2017-01-05,1024.4562499999975,3
M,2017-01-05,1013.29583333333,3
ME,2017-01-05,1031.2333333333302,4
MK,2017-01-05,1024.4562499999975,3
ML,2017-01-05,1013.29583333333,7
N,2017-01-05,1030.68958333333,3
NE,2017-01-05,1013.29583333333,6
NG,2017-01-05,1022.224166666664,5
NN,2017-01-05,1018.222916666665,3
NP,2017-01-05,1016.5805555555535,3
NR,2017-01-05,1024.4562499999975,5
NW,2017-01-05,1030.68958333333,2
OL,2017-01-05,1013.29583333333,4
OX,2017-01-05,1018.222916666665,2
PA,2017-01-05,1013.29583333333,8
PE,2017-01-05,1024.4562499999975,4
PH,2017-01-05,1013.29583333333,9
PL,2017-01-05,1018.222916666665,3
PO,2017-01-05,1022.55972222222,2
PR,2017-01-05,1013.29583333333,3
RG,2017-01-05,1018.222916666665,1
RH,2017-01-05,1031.2333333333302,2
RM,2017-01-05,1031.2333333333302,3
S,2017-01-05,1013.29583333333,4
SA,2017-01-05,1013.29583333333,2
SE,2017-01-05,1031.2333333333302,2
SG,2017-01-05,1030.14583333333,3
SK,2017-01-05,1013.29583333333,3
SL,2017-01-05,1030.68958333333,1
SM,2017-01-05,1031.2333333333302,2
SN,2017-01-05,1018.222916666665,1
SO,2017-01-05,1018.222916666665,1
SP,2017-01-05,1018.222916666665,0
SR,2017-01-05,1013.29583333333,7
SS,2017-01-05,1030.68958333333,4
ST,2017-01-05,1013.29583333333,3
SW,2017-01-05,1031.2333333333302,1
SY,2017-01-05,1013.29583333333,1
TA,2017-01-05,1018.222916666665,2
TD,2017-01-05,1013.29583333333,6
TF,2017-01-05,1013.29583333333,2
TN,2017-01-05,1031.2333333333302,3
TQ,2017-01-05,1018.222916666665,3
TR,2017-01-05,1018.222916666665,4
TS,2017-01-05,1013.29583333333,6
TW,2017-01-05,1031.2333333333302,0
UB,2017-01-05,1030.14583333333,0
W,2017-01-05,1030.68958333333,1
WA,2017-01-05,1013.29583333333,2
WC,2017-01-05,1030.68958333333,2
WD,2017-01-05,1030.14583333333,1
WF,2017-01-05,1013.29583333333,5
WN,2017-01-05,1013.29583333333,3
WR,2017-01-05,1013.29583333333,2
WS,2017-01-05,1013.29583333333,3
WV,2017-01-05,1013.29583333333,2
YO,2017-01-05,1013.29583333333,6
ZE,2017-01-05,,2
AB,2017-01-06,1011.45,10
AL,2017-01-06,1031.87916666667,2
B,2017-01-06,1011.45,3
BA,2017-01-06,1019.5125,1
BB,2017-01-06,1011.45,4
BD,2017-01-06,1011.45,5
BH,2017-01-06,1019.5125,1
BL,2017-01-06,1011.45,4
BN,2017-01-06,1032.975,2
BR,2017-01-06,1032.975,3
BS,2017-01-06,1019.5125,2
BT,2017-01-06,,2
CA,2017-01-06,1011.45,5
CB,2017-01-06,1031.87916666667,4
CF,2017-01-06,1011.45,3
CH,2017-01-06,1011.45,1
CM,2017-01-06,1031.87916666667,3
CO,2017-01-06,1031.87916666667,4
CR,2017-01-06,1032.975,2
CT,2017-01-06,1032.975,4
CV,2017-01-06,1016.8250000000003,3
CW,2017-01-06,1011.45,2
DA,2017-01-06,1032.975,3
DD,2017-01-06,1011.45,9
DE,2017-01-06,1016.8250000000003,4
DG,2017-01-06,1011.45,6
DH,2017-01-06,1011.45,6
DL,2017-01-06,1011.45,5
DN,2017-01-06,1011.45,5
DT,2017-01-06,1019.5125,1
DY,2017-01-06,1011.45,2
E,2017-01-06,1032.4270833333348,3
EC,2017-01-06,1032.4270833333348,3
EH,2017-01-06,1011.45,7
EN,2017-01-06,1031.87916666667,2
EX,2017-01-06,1019.5125,2
FK,2017-01-06,1011.45,8
FY,2017-01-06,1011.45,4
G,2017-01-06,1011.45,8
GL,2017-01-06,1019.5125,2
GU,2017-01-06,1032.975,1
GY,2017-01-06,,2
HA,2017-01-06,1031.87916666667,1
HD,2017-01-06,1011.45,4
HG,2017-01-06,1011.45,6
HP,2017-01-06,1025.969791666667,2
HR,2017-01-06,1011.45,2
HS,2017-01-06,,2
HU,2017-01-06,1011.45,6
HX,2017-01-06,1011.45,5
IG,2017-01-06,1032.4270833333348,3
IM,2017-01-06,,2
IP,2017-01-06,1025.9697916666676,5
IV,2017-01-06,1011.45,10
JE,2017-01-06,,2
KA,2017-01-06,1011.45,7
KT,2017-01-06,1032.975,1
KW,2017-01-06,1011.45,11
KY,2017-01-06,1011.45,8
L,2017-01-06,1011.45,2
LA,2017-01-06,1011.45,4
LD,2017-01-06,1011.45,2
LE,2017-01-06,1016.8250000000003,4
LL,2017-01-06,1011.45,0
LN,2017-01-06,1025.969791666667,5
LS,2017-01-06,1011.45,6
LU,2017-01-06,1025.969791666667,3
M,2017-01-06,1011.45,3
ME,2017-01-06,1032.975,4
MK,2017-01-06,1025.969791666667,3
ML,2017-01-06,1011.45,7
N,2017-01-06,1032.4270833333348,3
NE,2017-01-06,1011.45,6
NG,2017-01-06,1023.065833333334,5
NN,2017-01-06,1019.5125,3
NP,2017-01-06,1016.8250000000003,3
NR,2017-01-06,1025.969791666667,5
NW,2017-01-06,1032.4270833333348,2
OL,2017-01-06,1011.45,4
OX,2017-01-06,1019.5125,2
PA,2017-01-06,1011.45,8
PE,2017-01-06,1025.969791666667,4
PH,2017-01-06,1011.45,9
PL,2017-01-06,1019.5125,3
PO,2017-01-06,1024.0,2
PR,2017-01-06,1011.45,3
RG,2017-01-06,1019.5125,1
RH,2017-01-06,1032.975,2
RM,2017-01-06,1032.975,3
S,2017-01-06,1011.45,4
SA,2017-01-06,1011.45,2
SE,2017-01-06,1032.975,2
SG,2017-01-06,1031.87916666667,3
SK,2017-01-06,1011.45,3
SL,2017-01-06,1032.4270833333348,1
SM,2017-01-06,1032.975,2
SN,2017-01-06,1019.5125,1
SO,2017-01-06,1019.5125,1
SP,2017-01-06,1019.5125,0
SR,2017-01-06,1011.45,7
SS,2017-01-06,1032.4270833333348,4
ST,2017-01-06,1011.45,3
SW,2017-01-06,1032.975,1
SY,2017-01-06,1011.45,1
TA,2017-01-06,1019.5125,2
TD,2017-01-06,1011.45,6
TF,2017-01-06,1011.45,2
TN,2017-01-06,1032.975,3
TQ,2017-01-06,1019.5125,3
TR,2017-01-06,1019.5125,4
