region_id,timestamp,val_SO2_mean,extra_rings_SO2_mean
DN,2017-01-04,2.75,1
DT,2017-01-04,9.0,1
DY,2017-01-04,2.0,2
E,2017-01-04,2.333333333333333,2
EC,2017-01-04,2.0,1
EH,2017-01-04,2.0,0
EN,2017-01-04,4.0,1
EX,2017-01-04,9.0,1
FK,2017-01-04,1.0,0
FY,2017-01-04,2.0,2
G,2017-01-04,1.0,1
GL,2017-01-04,6.0,2
GU,2017-01-04,1.0,1
GY,2017-01-04,,2
HA,2017-01-04,3.0,1
HD,2017-01-04,1.5,1
HG,2017-01-04,2.0,1
HP,2017-01-04,2.5,2
HR,2017-01-04,2.25,2
HS,2017-01-04,,2
HU,2017-01-04,5.0,0
HX,2017-01-04,1.5,2
IG,2017-01-04,1.0,1
IM,2017-01-04,,2
IP,2017-01-04,3.0,2
IV,2017-01-04,1.0,2
JE,2017-01-04,,2
KA,2017-01-04,1.5,2
KT,2017-01-04,1.5,2
KW,2017-01-04,1.0,3
KY,2017-01-04,1.5,1
L,2017-01-04,2.0,0
LA,2017-01-04,3.0,2
LD,2017-01-04,1.3333333333333333,1
LE,2017-01-04,3.0,1
LL,2017-01-04,5.0,0
LN,2017-01-04,3.0,1
LS,2017-01-04,2.0,0
LU,2017-01-04,2.25,3
M,2017-01-04,1.0,0
ME,2017-01-04,1.0,0
MK,2017-01-04,3.0,2
ML,2017-01-04,1.5,1
N,2017-01-04,3.0,1
NE,2017-01-04,3.5,2
NG,2017-01-04,3.0,0
NN,2017-01-04,3.0,2
NP,2017-01-04,3.0,1
NR,2017-01-04,3.0,2
NW,2017-01-04,4.0,0
OL,2017-01-04,1.0,1
OX,2017-01-04,1.0,2
PA,2017-01-04,1.0,1
PE,2017-01-04,3.0,1
PH,2017-01-04,1.0,1
PL,2017-01-04,9.0,2
PO,2017-01-04,1.0,1
PR,2017-01-04,2.0,1
RG,2017-01-04,1.0,1
RH,2017-01-04,1.0,1
RM,2017-01-04,1.0,0
S,2017-01-04,1.5,0
SA,2017-01-04,0.5,0
SE,2017-01-04,1.5,1
SG,2017-01-04,2.6666666666666665,2
SK,2017-01-04,1.3333333333333333,1
SL,2017-01-04,2.0,2
SM,2017-01-04,2.0,2
SN,2017-01-04,5.0,2
SO,2017-01-04,1.0,0
SP,2017-01-04,1.0,1
SR,2017-01-04,5.0,1
SS,2017-01-04,1.0,1
ST,2017-01-04,1.75,2
SW,2017-01-04,2.0,1
SY,2017-01-04,2.0,1
TA,2017-01-04,9.0,0
TD,2017-01-04,2.0,1
TF,2017-01-04,2.0,2
TN,2017-01-04,1.0,1
TQ,2017-01-04,9.0,2
TR,2017-01-04,9.0,3
TS,2017-01-04,5.0,0
TW,2017-01-04,2.0,1
UB,2017-01-04,2.0,1
W,2017-01-04,2.0,0
WA,2017-01-04,1.5,1
WC,2017-01-04,2.0,0
WD,2017-01-04,4.0,1
WF,2017-01-04,1.6666666666666667,1
WN,2017-01-04,1.5,1
WR,2017-01-04,2.0,2
WS,2017-01-04,2.0,2
WV,2017-01-04,2.0,2
YO,2017-01-04,4.0,1
ZE,2017-01-04,,2
AB,2017-01-05,3.0,2
AL,2017-01-05,7.0,2
B,2017-01-05,4.666666666666667,2
BA,2017-01-05,19.0,1
BB,2017-01-05,2.6666666666666665,2
BD,2017-01-05,2.0,1
BH,2017-01-05,1.0,1
BL,2017-01-05,3.0,1
BN,2017-01-05,1.0,0
BR,2017-01-05,3.0,2
BS,2017-01-05,19.0,1
BT,2017-01-05,1.0,0
CA,2017-01-05,2.5,2
CB,2017-01-05,6.5,2
CF,2017-01-05,3.0,0
CH,2017-01-05,3.0,1
CM,2017-01-05,6.0,1
CO,2017-01-05,6.0,2
CR,2017-01-05,3.8,2
CT,2017-01-05,2.0,1
CV,2017-01-05,4.666666666666667,2
CW,2017-01-05,3.0,2
DA,2017-01-05,4.0,1
DD,2017-01-05,2.5,2
DE,2017-01-05,4.666666666666667,1
DG,2017-01-05,2.5,2
DH,2017-01-05,3.0,1
DL,2017-01-05,3.0,1
DN,2017-01-05,4.25,1
DT,2017-01-05,19.0,1
DY,2017-01-05,2.6666666666666665,2
E,2017-01-05,5.333333333333333,2
EC,2017-01-05,3.0,1
EH,2017-01-05,2.0,0
EN,2017-01-05,7.0,1
EX,2017-01-05,19.0,1
FK,2017-01-05,3.0,0
FY,2017-01-05,3.0,2
G,2017-01-05,3.0,1
GL,2017-01-05,11.0,2
GU,2017-01-05,1.0,1
GY,2017-01-05,,2
HA,2017-01-05,7.0,1
HD,2017-01-05,3.5,1
HG,2017-01-05,2.0,1
HP,2017-01-05,4.0,2
HR,2017-01-05,2.75,2
HS,2017-01-05,,2
HU,2017-01-05,3.0,0
HX,2017-01-05,3.0,2
IG,2017-01-05,6.0,1
IM,2017-01-05,,2
IP,2017-01-05,7.0,2
IV,2017-01-05,3.0,2
JE,2017-01-05,,2
KA,2017-01-05,2.5,2
KT,2017-01-05,3.0,2
KW,2017-01-05,3.0,3
KY,2017-01-05,2.5,1
L,2017-01-05,3.0,0
LA,2017-01-05,2.6666666666666665,2
LD,2017-01-05,2.6666666666666665,1
LE,2017-01-05,7.0,1
LL,2017-01-05,3.0,0
LN,2017-01-05,7.0,1
LS,2017-01-05,2.0,0
LU,2017-01-05,5.25,3
M,2017-01-05,3.0,0
ME,2017-01-05,2.0,0
MK,2017-01-05,7.0,2
ML,2017-01-05,2.5,1
N,2017-01-05,5.0,1
NE,2017-01-05,2.5,2
NG,2017-01-05,7.0,0
NN,2017-01-05,7.0,2
NP,2017-01-05,3.0,1
NR,2017-01-05,7.0,2
NW,2017-01-05,7.0,0
OL,2017-01-05,3.0,1
OX,2017-01-05,1.0,2
PA,2017-01-05,3.0,1
PE,2017-01-05,7.0,1
PH,2017-01-05,3.0,1
PL,2017-01-05,19.0,2
PO,2017-01-05,1.0,1
PR,2017-01-05,3.0,1
RG,2017-01-05,1.0,1
RH,2017-01-05,1.0,1
RM,2017-01-05,6.0,0
S,2017-01-05,3.5,0
SA,2017-01-05,2.5,0
SE,2017-01-05,4.5,1
SG,2017-01-05,6.666666666666668,2
SK,2017-01-05,3.333333333333333,1
SL,2017-01-05,4.0,2
SM,2017-01-05,5.0,2
SN,2017-01-05,10.0,2
SO,2017-01-05,1.0,0
SP,2017-01-05,1.0,1
SR,2017-01-05,3.0,1
SS,2017-01-05,4.0,1
ST,2017-01-05,4.25,2
SW,2017-01-05,5.0,1
SY,2017-01-05,2.6666666666666665,1
TA,2017-01-05,19.0,0
TD,2017-01-05,2.0,1
TF,2017-01-05,2.6666666666666665,2
TN,2017-01-05,1.5,1
TQ,2017-01-05,19.0,2
TR,2017-01-05,19.0,3
TS,2017-01-05,3.0,0
TW,2017-01-05,7.0,1
UB,2017-01-05,7.0,1
W,2017-01-05,7.0,0
WA,2017-01-05,3.0,1
WC,2017-01-05,3.0,0
WD,2017-01-05,7.0,1
WF,2017-01-05,3.0,1
WN,2017-01-05,3.0,1
WR,2017-01-05,2.6666666666666665,2
WS,2017-01-05,4.666666666666667,2
WV,2017-01-05,2.6666666666666665,2
YO,2017-01-05,2.6666666666666665,1
ZE,2017-01-05,,2
AB,2017-01-06,1.0,2
AL,2017-01-06,14.0,2
B,2017-01-06,2.0,2
BA,2017-01-06,12.0,1
BB,2017-01-06,2.333333333333333,2
BD,2017-01-06,2.0,1
BH,2017-01-06,2.0,1
BL,2017-01-06,2.0,1
BN,2017-01-06,1.0,0
BR,2017-01-06,2.25,2
BS,2017-01-06,12.0,1
BT,2017-01-06,1.6666666666666667,0
CA,2017-01-06,2.5,2
CB,2017-01-06,3.0,2
CF,2017-01-06,2.0,0
CH,2017-01-06,3.5,1
CM,2017-01-06,4.0,1
CO,2017-01-06,4.0,2
CR,2017-01-06,2.8,2
CT,2017-01-06,1.0,1
CV,2017-01-06,2.0,2
CW,2017-01-06,2.2857142857142856,2
DA,2017-01-06,2.5,1
DD,2017-01-06,1.5,2
DE,2017-01-06,2.0,1
DG,2017-01-06,1.5,2
DH,2017-01-06,3.0,1
DL,2017-01-06,3.0,1
DN,2017-01-06,2.25,1
DT,2017-01-06,12.0,1
DY,2017-01-06,2.333333333333333,2
E,2017-01-06,7.0,2
EC,2017-01-06,3.0,1
EH,2017-01-06,2.0,0
EN,2017-01-06,14.0,1
EX,2017-01-06,12.0,1
FK,2017-01-06,1.0,0
FY,2017-01-06,3.0,2
G,2017-01-06,1.0,1
GL,2017-01-06,7.0,2
GU,2017-01-06,1.5,1
GY,2017-01-06,,2
HA,2017-01-06,9.5,1
HD,2017-01-06,2.0,1
HG,2017-01-06,2.0,1
HP,2017-01-06,8.0,2
HR,2017-01-06,2.25,2
HS,2017-01-06,,2
HU,2017-01-06,3.0,0
HX,2017-01-06,2.0,2
IG,2017-01-06,4.0,1
IM,2017-01-06,,2
IP,2017-01-06,2.0,2
IV,2017-01-06,1.0,2
JE,2017-01-06,,2
KA,2017-01-06,1.5,2
KT,2017-01-06,2.75,2
KW,2017-01-06,1.0,3
KY,2017-01-06,1.5,1
L,2017-01-06,3.0,0
LA,2017-01-06,2.6666666666666665,2
LD,2017-01-06,1.6666666666666667,1
LE,2017-01-06,2.0,1
LL,2017-01-06,4.0,0
LN,2017-01-06,2.0,1
LS,2017-01-06,2.0,0
LU,2017-01-06,5.5,3
M,2017-01-06,2.0,0
ME,2017-01-06,1.0,0
MK,2017-01-06,2.0,2
ML,2017-01-06,1.5,1
N,2017-01-06,8.5,1
NE,2017-01-06,2.5,2
NG,2017-01-06,2.0,0
NN,2017-01-06,2.0,2
NP,2017-01-06,2.0,1
NR,2017-01-06,2.0,2
NW,2017-01-06,14.0,0
OL,2017-01-06,2.0,1
OX,2017-01-06,2.0,2
PA,2017-01-06,1.0,1
PE,2017-01-06,2.0,1
PH,2017-01-06,1.0,1
PL,2017-01-06,12.0,2
PO,2017-01-06,1.5,1
PR,2017-01-06,3.0,1
RG,2017-01-06,2.0,1
RH,2017-01-06,1.0,1
RM,2017-01-06,4.0,0
S,2017-01-06,2.0,0
SA,2017-01-06,1.5,0
SE,2017-01-06,3.5,1
SG,2017-01-06,6.666666666666668,2
SK,2017-01-06,2.0,1
SL,2017-01-06,5.5,2
SM,2017-01-06,4.0,2
SN,2017-01-06,7.0,2
SO,2017-01-06,2.0,0
SP,2017-01-06,2.0,1
SR,2017-01-06,3.0,1
SS,2017-01-06,2.5,1
ST,2017-01-06,2.0,2
SW,2017-01-06,4.0,1
SY,2017-01-06,2.333333333333333,1
TA,2017-01-06,12.0,0
TD,2017-01-06,2.0,1
TF,2017-01-06,2.333333333333333,2
TN,2017-01-06,1.0,1
TQ,2017-01-06,12.0,2
TR,2017-01-06,12.0,3
TS,2017-01-06,3.0,0
TW,2017-01-06,5.0,1
UB,2017-01-06,5.0,1
W,2017-01-06,5.0,0
WA,2017-01-06,2.5,1
WC,2017-01-06,3.0,0
WD,2017-01-06,14.0,1
WF,2017-01-06,2.0,1
WN,2017-01-06,2.5,1
WR,2017-01-06,2.333333333333333,2
WS,2017-01-06,2.0,2
