region_id,timestamp,val_PM2.5_mean,extra_rings_PM2.5_mean
SK,2017-01-05,22.142857142857146,1
SL,2017-01-05,19.0,1
SM,2017-01-05,26.33333333333333,2
SN,2017-01-05,21.166666666666668,2
SO,2017-01-05,16.0,0
SP,2017-01-05,16.0,1
SR,2017-01-05,10.0,0
SS,2017-01-05,20.0,0
ST,2017-01-05,24.0,0
SW,2017-01-05,26.5,1
SY,2017-01-05,13.333333333333336,1
TA,2017-01-05,9.0,1
TD,2017-01-05,10.0,1
TF,2017-01-05,24.0,1
TN,2017-01-05,21.6,1
TQ,2017-01-05,9.0,1
TR,2017-01-05,9.0,2
TS,2017-01-05,9.0,0
TW,2017-01-05,23.5,1
UB,2017-01-05,19.0,0
W,2017-01-05,28.0,0
WA,2017-01-05,27.0,0
WC,2017-01-05,24.25,1
WD,2017-01-05,21.0,1
WF,2017-01-05,16.571428571428573,1
WN,2017-01-05,25.0,0
WR,2017-01-05,26.16666666666667,1
WS,2017-01-05,26.5,1
WV,2017-01-05,24.0,1
YO,2017-01-05,12.5,0
ZE,2017-01-05,,2
AB,2017-01-06,14.0,0
AL,2017-01-06,23.0,1
B,2017-01-06,16.666666666666668,0
BA,2017-01-06,17.333333333333332,2
BB,2017-01-06,16.0,1
BD,2017-01-06,16.0,1
BH,2017-01-06,14.0,1
BL,2017-01-06,15.5,1
BN,2017-01-06,14.0,0
BR,2017-01-06,19.5,1
BS,2017-01-06,19.0,1
BT,2017-01-06,9.0,0
CA,2017-01-06,12.0,0
CB,2017-01-06,23.0,1
CF,2017-01-06,17.0,0
CH,2017-01-06,13.0,0
CM,2017-01-06,22.0,1
CO,2017-01-06,20.5,2
CR,2017-01-06,22.5,1
CT,2017-01-06,16.0,1
CV,2017-01-06,18.666666666666668,0
CW,2017-01-06,16.666666666666668,1
DA,2017-01-06,21.0,0
DD,2017-01-06,14.0,1
DE,2017-01-06,17.833333333333332,1
DG,2017-01-06,12.0,1
DH,2017-01-06,13.0,1
DL,2017-01-06,12.8,1
DN,2017-01-06,19.0,1
DT,2017-01-06,14.0,2
DY,2017-01-06,16.666666666666668,1
E,2017-01-06,18.0,1
EC,2017-01-06,18.0,1
EH,2017-01-06,4.5,0
EN,2017-01-06,25.66666666666667,1
EX,2017-01-06,17.333333333333332,3
FK,2017-01-06,9.0,0
FY,2017-01-06,15.0,0
G,2017-01-06,8.0,0
GL,2017-01-06,18.8,1
GU,2017-01-06,17.0,1
GY,2017-01-06,,2
HA,2017-01-06,27.0,1
HD,2017-01-06,18.0,1
HG,2017-01-06,16.0,1
HP,2017-01-06,21.875,2
HR,2017-01-06,19.0,1
HS,2017-01-06,,2
HU,2017-01-06,21.0,0
HX,2017-01-06,16.125,2
IG,2017-01-06,18.0,1
IM,2017-01-06,,2
IP,2017-01-06,16.0,1
IV,2017-01-06,14.0,1
JE,2017-01-06,,2
KA,2017-01-06,6.666666666666668,1
KT,2017-01-06,27.0,1
KW,2017-01-06,14.0,2
KY,2017-01-06,6.0,1
L,2017-01-06,12.0,0
LA,2017-01-06,14.333333333333336,1
LD,2017-01-06,16.0,1
LE,2017-01-06,17.0,0
LL,2017-01-06,13.0,1
LN,2017-01-06,20.0,1
LS,2017-01-06,16.0,0
LU,2017-01-06,23.0,1
M,2017-01-06,13.5,0
ME,2017-01-06,16.0,0
MK,2017-01-06,23.0,1
ML,2017-01-06,6.8,1
N,2017-01-06,27.0,1
NE,2017-01-06,13.0,0
NG,2017-01-06,20.0,0
NN,2017-01-06,18.25,1
NP,2017-01-06,19.0,0
NR,2017-01-06,16.0,0
NW,2017-01-06,27.0,0
OL,2017-01-06,13.5,1
OX,2017-01-06,18.666666666666668,1
PA,2017-01-06,4.0,0
PE,2017-01-06,19.0,1
PH,2017-01-06,9.0,1
PL,2017-01-06,17.333333333333332,4
PO,2017-01-06,13.0,0
PR,2017-01-06,16.0,0
RG,2017-01-06,14.0,1
RH,2017-01-06,27.0,0
RM,2017-01-06,19.0,1
S,2017-01-06,18.0,0
SA,2017-01-06,12.5,0
SE,2017-01-06,18.0,0
SG,2017-01-06,23.0,0
